INFO: 01/14/2021 07:37:59 epoch 0, shard 0, rewards train 0.6032247543334961, rewards val 0.7735363924050633
INFO: 01/14/2021 07:41:06 epoch 0, shard 1, rewards train 0.7714428305625916, rewards val 0.8008306962025317
INFO: 01/14/2021 07:43:59 epoch 1, shard 0, rewards train 0.7992852330207825, rewards val 0.8637262658227848
INFO: 01/14/2021 07:46:53 epoch 1, shard 1, rewards train 0.8443594574928284, rewards val 0.8870648734177216
INFO: 01/14/2021 07:49:47 epoch 2, shard 0, rewards train 0.869348406791687, rewards val 0.9129746835443038
INFO: 01/14/2021 07:52:41 epoch 2, shard 1, rewards train 0.8732823729515076, rewards val 0.9267207278481012
INFO: 01/14/2021 07:55:34 epoch 3, shard 0, rewards train 0.8944758176803589, rewards val 0.930379746835443
INFO: 01/14/2021 07:58:28 epoch 3, shard 1, rewards train 0.905834436416626, rewards val 0.9372033227848101
INFO: 01/14/2021 08:01:22 epoch 4, shard 0, rewards train 0.9134253263473511, rewards val 0.9430379746835443
INFO: 01/14/2021 08:04:15 epoch 4, shard 1, rewards train 0.9194093346595764, rewards val 0.9380933544303798
INFO: 01/14/2021 08:07:09 epoch 5, shard 0, rewards train 0.9237034320831299, rewards val 0.9463014240506329
INFO: 01/14/2021 08:10:10 epoch 5, shard 1, rewards train 0.9296320676803589, rewards val 0.9393789556962026
INFO: 01/14/2021 08:13:04 epoch 6, shard 0, rewards train 0.9307125210762024, rewards val 0.9509493670886076
INFO: 01/14/2021 08:15:57 epoch 6, shard 1, rewards train 0.9381648898124695, rewards val 0.9599485759493671
INFO: 01/14/2021 08:18:51 epoch 7, shard 0, rewards train 0.9439272880554199, rewards val 0.9614319620253164
INFO: 01/14/2021 08:21:45 epoch 7, shard 1, rewards train 0.9466145634651184, rewards val 0.9559928797468354
INFO: 01/14/2021 08:24:39 epoch 8, shard 0, rewards train 0.9424867033958435, rewards val 0.9615308544303798
INFO: 01/14/2021 08:27:32 epoch 8, shard 1, rewards train 0.9436225891113281, rewards val 0.9608386075949367
INFO: 01/14/2021 08:30:26 epoch 9, shard 0, rewards train 0.9463098645210266, rewards val 0.9540150316455697
INFO: 01/14/2021 08:33:20 epoch 9, shard 1, rewards train 0.9461159110069275, rewards val 0.9565862341772152
INFO: 01/14/2021 08:36:14 epoch 10, shard 0, rewards train 0.9487754702568054, rewards val 0.9518393987341772
INFO: 01/14/2021 08:39:07 epoch 10, shard 1, rewards train 0.9470855593681335, rewards val 0.9618275316455697
INFO: 01/14/2021 08:42:01 epoch 11, shard 0, rewards train 0.948664665222168, rewards val 0.9604430379746836
INFO: 01/14/2021 08:44:55 epoch 11, shard 1, rewards train 0.9505762457847595, rewards val 0.9604430379746836
INFO: 01/14/2021 08:47:48 epoch 12, shard 0, rewards train 0.9584718346595764, rewards val 0.9643987341772152
INFO: 01/14/2021 08:50:43 epoch 12, shard 1, rewards train 0.9565879702568054, rewards val 0.9674643987341772
INFO: 01/14/2021 08:53:36 epoch 13, shard 0, rewards train 0.9547041058540344, rewards val 0.9614319620253164
INFO: 01/14/2021 08:56:28 epoch 13, shard 1, rewards train 0.9539006948471069, rewards val 0.9605419303797469
INFO: 01/14/2021 08:59:22 epoch 14, shard 0, rewards train 0.9576407074928284, rewards val 0.9652887658227848
INFO: 01/14/2021 09:02:16 epoch 14, shard 1, rewards train 0.9565602540969849, rewards val 0.959256329113924
INFO: 01/14/2021 09:05:10 epoch 15, shard 0, rewards train 0.9562832713127136, rewards val 0.9673655063291139
INFO: 01/14/2021 09:08:03 epoch 15, shard 1, rewards train 0.957308292388916, rewards val 0.9645965189873418
INFO: 01/14/2021 09:10:57 epoch 16, shard 0, rewards train 0.9611591100692749, rewards val 0.966376582278481
INFO: 01/14/2021 09:13:50 epoch 16, shard 1, rewards train 0.9609652161598206, rewards val 0.9623219936708861
INFO: 01/14/2021 09:16:44 epoch 17, shard 0, rewards train 0.957308292388916, rewards val 0.9646954113924051
INFO: 01/14/2021 09:19:37 epoch 17, shard 1, rewards train 0.9545102119445801, rewards val 0.9569818037974683
INFO: 01/14/2021 09:22:31 epoch 18, shard 0, rewards train 0.954177737236023, rewards val 0.9595530063291139
INFO: 01/14/2021 09:25:25 epoch 18, shard 1, rewards train 0.9532358050346375, rewards val 0.9645965189873418
INFO: 01/14/2021 09:28:19 epoch 19, shard 0, rewards train 0.9585549831390381, rewards val 0.963310917721519
INFO: 01/14/2021 09:31:13 epoch 19, shard 1, rewards train 0.958083987236023, rewards val 0.9684533227848101
INFO: 01/14/2021 09:34:07 epoch 20, shard 0, rewards train 0.9616578221321106, rewards val 0.9662776898734177
INFO: 01/14/2021 09:37:01 epoch 20, shard 1, rewards train 0.962267279624939, rewards val 0.9657832278481012
INFO: 01/14/2021 09:39:55 epoch 21, shard 0, rewards train 0.9597739577293396, rewards val 0.9597507911392406
INFO: 01/14/2021 09:42:49 epoch 21, shard 1, rewards train 0.957585334777832, rewards val 0.9559928797468354
INFO: 01/14/2021 09:45:42 epoch 22, shard 0, rewards train 0.9555075168609619, rewards val 0.9584651898734177
INFO: 01/14/2021 09:48:35 epoch 22, shard 1, rewards train 0.9565325975418091, rewards val 0.9593552215189873
