INFO: 01/15/2021 04:09:56 epoch 0, shard 0, rewards train 0.5792292952537537, rewards val 0.7537302927927928
INFO: 01/15/2021 04:13:43 epoch 0, shard 1, rewards train 0.7812623977661133, rewards val 0.8388583896396397
INFO: 01/15/2021 04:17:24 epoch 1, shard 0, rewards train 0.8277138471603394, rewards val 0.8864824646074646
INFO: 01/15/2021 04:21:09 epoch 1, shard 1, rewards train 0.8542667627334595, rewards val 0.8935710263835264
INFO: 01/15/2021 04:24:58 epoch 2, shard 0, rewards train 0.8774095177650452, rewards val 0.8988246058558558
INFO: 01/15/2021 04:28:41 epoch 2, shard 1, rewards train 0.8850432634353638, rewards val 0.9126699243886743
INFO: 01/15/2021 04:32:26 epoch 3, shard 0, rewards train 0.8935593962669373, rewards val 0.9171141007078507
INFO: 01/15/2021 04:36:14 epoch 3, shard 1, rewards train 0.897698700428009, rewards val 0.925132722007722
INFO: 01/15/2021 04:39:56 epoch 4, shard 0, rewards train 0.9064759016036987, rewards val 0.9342171412483912
INFO: 01/15/2021 04:43:39 epoch 4, shard 1, rewards train 0.9112329483032227, rewards val 0.9409839527027027
INFO: 01/15/2021 04:47:26 epoch 5, shard 0, rewards train 0.9212613701820374, rewards val 0.9368615267052768
INFO: 01/15/2021 04:51:17 epoch 5, shard 1, rewards train 0.9231684803962708, rewards val 0.9378066682754183
INFO: 01/15/2021 04:55:02 epoch 6, shard 0, rewards train 0.9267157316207886, rewards val 0.9332669723294723
INFO: 01/15/2021 04:58:47 epoch 6, shard 1, rewards train 0.9205831289291382, rewards val 0.9378066682754183
INFO: 01/15/2021 05:02:31 epoch 7, shard 0, rewards train 0.9297435879707336, rewards val 0.933261944980695
INFO: 01/15/2021 05:06:11 epoch 7, shard 1, rewards train 0.9301905632019043, rewards val 0.9318894787644788
INFO: 01/15/2021 05:09:49 epoch 8, shard 0, rewards train 0.9347556829452515, rewards val 0.9373893983268984
INFO: 01/15/2021 05:13:32 epoch 8, shard 1, rewards train 0.934531033039093, rewards val 0.937168194980695
INFO: 01/15/2021 05:17:18 epoch 9, shard 0, rewards train 0.9392849206924438, rewards val 0.9530194256756757
INFO: 01/15/2021 05:21:03 epoch 9, shard 1, rewards train 0.9390882849693298, rewards val 0.9509029118404119
INFO: 01/15/2021 05:24:47 epoch 10, shard 0, rewards train 0.9395107626914978, rewards val 0.9506917631917633
INFO: 01/15/2021 05:28:32 epoch 10, shard 1, rewards train 0.9382204413414001, rewards val 0.9476301077863578
INFO: 01/15/2021 05:32:17 epoch 11, shard 0, rewards train 0.9390170574188232, rewards val 0.9499477155727155
INFO: 01/15/2021 05:35:59 epoch 11, shard 1, rewards train 0.9377372860908508, rewards val 0.9552314591377092
INFO: 01/15/2021 05:39:43 epoch 12, shard 0, rewards train 0.9445711374282837, rewards val 0.9340009652509653
INFO: 01/15/2021 05:43:29 epoch 12, shard 1, rewards train 0.9412292242050171, rewards val 0.947836229086229
