INFO: 01/14/2021 07:34:37 epoch 0, shard 0, rewards train 0.7298038601875305, rewards val 0.776503164556962
INFO: 01/14/2021 07:39:56 epoch 0, shard 1, rewards train 0.7734929323196411, rewards val 0.7734375
INFO: 01/14/2021 07:44:46 epoch 1, shard 0, rewards train 0.776291012763977, rewards val 0.7772943037974683
INFO: 01/14/2021 07:49:37 epoch 1, shard 1, rewards train 0.778950572013855, rewards val 0.7928204113924051
INFO: 01/14/2021 07:54:27 epoch 2, shard 0, rewards train 0.7957391142845154, rewards val 0.8156645569620253
INFO: 01/14/2021 07:59:34 epoch 2, shard 1, rewards train 0.8035239577293396, rewards val 0.8303006329113924
INFO: 01/14/2021 08:04:32 epoch 3, shard 0, rewards train 0.8122783899307251, rewards val 0.8180379746835443
INFO: 01/14/2021 08:09:23 epoch 3, shard 1, rewards train 0.8170434236526489, rewards val 0.8345530063291139
INFO: 01/14/2021 08:14:25 epoch 4, shard 0, rewards train 0.8154920339584351, rewards val 0.8403876582278481
INFO: 01/14/2021 08:19:15 epoch 4, shard 1, rewards train 0.82491135597229, rewards val 0.8399920886075949
INFO: 01/14/2021 08:24:05 epoch 5, shard 0, rewards train 0.8312278389930725, rewards val 0.8559137658227848
INFO: 01/14/2021 08:29:09 epoch 5, shard 1, rewards train 0.8382923603057861, rewards val 0.8584849683544303
INFO: 01/14/2021 08:34:00 epoch 6, shard 0, rewards train 0.8412289619445801, rewards val 0.8516613924050633
INFO: 01/14/2021 08:38:51 epoch 6, shard 1, rewards train 0.8373504281044006, rewards val 0.8564082278481012
INFO: 01/14/2021 08:43:41 epoch 7, shard 0, rewards train 0.8450244069099426, rewards val 0.8590783227848101
INFO: 01/14/2021 08:48:49 epoch 7, shard 1, rewards train 0.8433898687362671, rewards val 0.8500791139240507
INFO: 01/14/2021 08:53:45 epoch 8, shard 0, rewards train 0.8473514914512634, rewards val 0.8592761075949367
INFO: 01/14/2021 08:58:35 epoch 8, shard 1, rewards train 0.8500387668609619, rewards val 0.8654074367088608
INFO: 01/14/2021 09:03:38 epoch 9, shard 0, rewards train 0.8528645634651184, rewards val 0.8569026898734177
INFO: 01/14/2021 09:08:29 epoch 9, shard 1, rewards train 0.8574634194374084, rewards val 0.8869659810126582
INFO: 01/14/2021 09:13:21 epoch 10, shard 0, rewards train 0.8643062710762024, rewards val 0.8651107594936709
INFO: 01/14/2021 09:18:12 epoch 10, shard 1, rewards train 0.868240237236023, rewards val 0.8904272151898734
INFO: 01/14/2021 09:23:06 epoch 11, shard 0, rewards train 0.873116135597229, rewards val 0.8789556962025317
INFO: 01/14/2021 09:27:56 epoch 11, shard 1, rewards train 0.86788010597229, rewards val 0.8794501582278481
INFO: 01/14/2021 09:32:45 epoch 12, shard 0, rewards train 0.8749169111251831, rewards val 0.8839003164556962
INFO: 01/14/2021 09:37:48 epoch 12, shard 1, rewards train 0.8747783899307251, rewards val 0.8892405063291139
INFO: 01/14/2021 09:42:38 epoch 13, shard 0, rewards train 0.8759419322013855, rewards val 0.8857792721518988
INFO: 01/14/2021 09:47:40 epoch 13, shard 1, rewards train 0.8779920339584351, rewards val 0.8819224683544303
INFO: 01/14/2021 09:52:33 epoch 14, shard 0, rewards train 0.874030351638794, rewards val 0.8827136075949367
INFO: 01/14/2021 09:57:24 epoch 14, shard 1, rewards train 0.881981372833252, rewards val 0.8903283227848101
INFO: 01/14/2021 10:02:16 epoch 15, shard 0, rewards train 0.8801529407501221, rewards val 0.8861748417721519
INFO: 01/14/2021 10:07:08 epoch 15, shard 1, rewards train 0.8804853558540344, rewards val 0.8836036392405063
INFO: 01/14/2021 10:12:05 epoch 16, shard 0, rewards train 0.8850011229515076, rewards val 0.8884493670886076
INFO: 01/14/2021 10:17:08 epoch 16, shard 1, rewards train 0.8854166865348816, rewards val 0.8969541139240507
INFO: 01/14/2021 10:22:13 epoch 17, shard 0, rewards train 0.8841699957847595, rewards val 0.885185917721519
INFO: 01/14/2021 10:27:05 epoch 17, shard 1, rewards train 0.8849179744720459, rewards val 0.8895371835443038
INFO: 01/14/2021 10:31:57 epoch 18, shard 0, rewards train 0.889156699180603, rewards val 0.8795490506329114
INFO: 01/14/2021 10:36:47 epoch 18, shard 1, rewards train 0.8839483857154846, rewards val 0.8907238924050633
INFO: 01/14/2021 10:41:38 epoch 19, shard 0, rewards train 0.8858322501182556, rewards val 0.8997231012658228
INFO: 01/14/2021 10:46:29 epoch 19, shard 1, rewards train 0.8879931569099426, rewards val 0.8986352848101266
INFO: 01/14/2021 10:51:20 epoch 20, shard 0, rewards train 0.8845301270484924, rewards val 0.8995253164556962
INFO: 01/14/2021 10:56:11 epoch 20, shard 1, rewards train 0.8807623982429504, rewards val 0.8966574367088608
INFO: 01/14/2021 11:01:02 epoch 21, shard 0, rewards train 0.8863862752914429, rewards val 0.8968552215189873
INFO: 01/14/2021 11:05:53 epoch 21, shard 1, rewards train 0.8877161145210266, rewards val 0.8939873417721519
INFO: 01/14/2021 11:10:45 epoch 22, shard 0, rewards train 0.8837544322013855, rewards val 0.9020965189873418
INFO: 01/14/2021 11:15:37 epoch 22, shard 1, rewards train 0.8912068009376526, rewards val 0.8933939873417721
INFO: 01/14/2021 11:20:28 epoch 23, shard 0, rewards train 0.887134313583374, rewards val 0.9028876582278481
INFO: 01/14/2021 11:25:19 epoch 23, shard 1, rewards train 0.8873559236526489, rewards val 0.9036787974683544
INFO: 01/14/2021 11:30:11 epoch 24, shard 0, rewards train 0.8894614577293396, rewards val 0.8961629746835443
INFO: 01/14/2021 11:35:04 epoch 24, shard 1, rewards train 0.883782148361206, rewards val 0.8855814873417721
INFO: 01/14/2021 11:39:55 epoch 25, shard 0, rewards train 0.8873282074928284, rewards val 0.8872626582278481
INFO: 01/14/2021 11:44:46 epoch 25, shard 1, rewards train 0.8872174024581909, rewards val 0.897745253164557
INFO: 01/14/2021 11:49:37 epoch 26, shard 0, rewards train 0.8886857032775879, rewards val 0.8970530063291139
INFO: 01/14/2021 11:54:28 epoch 26, shard 1, rewards train 0.890070915222168, rewards val 0.8867681962025317
INFO: 01/14/2021 11:59:19 epoch 27, shard 0, rewards train 0.8892675042152405, rewards val 0.8987341772151899
INFO: 01/15/2021 12:04:09 epoch 27, shard 1, rewards train 0.8912344574928284, rewards val 0.8973496835443038
INFO: 01/15/2021 12:08:59 epoch 28, shard 0, rewards train 0.8878546357154846, rewards val 0.877373417721519
INFO: 01/15/2021 12:14:08 epoch 28, shard 1, rewards train 0.8886303305625916, rewards val 0.895371835443038
INFO: 01/15/2021 12:19:07 epoch 29, shard 0, rewards train 0.892231822013855, rewards val 0.9047666139240507
INFO: 01/15/2021 12:23:59 epoch 29, shard 1, rewards train 0.8882978558540344, rewards val 0.8994264240506329
INFO: 01/15/2021 12:28:57 epoch 30, shard 0, rewards train 0.8928689956665039, rewards val 0.8958662974683544
INFO: 01/15/2021 12:33:49 epoch 30, shard 1, rewards train 0.8881593346595764, rewards val 0.8892405063291139
INFO: 01/15/2021 12:38:42 epoch 31, shard 0, rewards train 0.8917885422706604, rewards val 0.9000197784810127
INFO: 01/15/2021 12:43:34 epoch 31, shard 1, rewards train 0.894254207611084, rewards val 0.9073378164556962
INFO: 01/15/2021 12:48:34 epoch 32, shard 0, rewards train 0.8958887457847595, rewards val 0.8881526898734177
INFO: 01/15/2021 12:53:26 epoch 32, shard 1, rewards train 0.8884363770484924, rewards val 0.900810917721519
INFO: 01/15/2021 12:58:17 epoch 33, shard 0, rewards train 0.892231822013855, rewards val 0.888251582278481
INFO: 01/15/2021 01:03:11 epoch 33, shard 1, rewards train 0.8908466100692749, rewards val 0.8968552215189873
INFO: 01/15/2021 01:08:11 epoch 34, shard 0, rewards train 0.8933122754096985, rewards val 0.899129746835443
INFO: 01/15/2021 01:13:02 epoch 34, shard 1, rewards train 0.8964705467224121, rewards val 0.9134691455696202
INFO: 01/15/2021 01:17:53 epoch 35, shard 0, rewards train 0.896553635597229, rewards val 0.9050632911392406
INFO: 01/15/2021 01:22:45 epoch 35, shard 1, rewards train 0.8966367244720459, rewards val 0.9132713607594937
INFO: 01/15/2021 01:27:37 epoch 36, shard 0, rewards train 0.8979942202568054, rewards val 0.9013053797468354
INFO: 01/15/2021 01:32:35 epoch 36, shard 1, rewards train 0.8933122754096985, rewards val 0.90625
INFO: 01/15/2021 01:37:24 epoch 37, shard 0, rewards train 0.8976895213127136, rewards val 0.908623417721519
INFO: 01/15/2021 01:42:28 epoch 37, shard 1, rewards train 0.8994348645210266, rewards val 0.9082278481012658
INFO: 01/15/2021 01:47:19 epoch 38, shard 0, rewards train 0.8973016142845154, rewards val 0.9028876582278481
INFO: 01/15/2021 01:52:13 epoch 38, shard 1, rewards train 0.8932291865348816, rewards val 0.8917128164556962
INFO: 01/15/2021 01:57:04 epoch 39, shard 0, rewards train 0.897467851638794, rewards val 0.9087223101265823
INFO: 01/15/2021 02:01:56 epoch 39, shard 1, rewards train 0.893977165222168, rewards val 0.9060522151898734
INFO: 01/15/2021 02:06:44 epoch 40, shard 0, rewards train 0.8981327414512634, rewards val 0.9105023734177216
INFO: 01/15/2021 02:11:41 epoch 40, shard 1, rewards train 0.8999335169792175, rewards val 0.9010087025316456
INFO: 01/15/2021 02:16:38 epoch 41, shard 0, rewards train 0.8923980593681335, rewards val 0.9185126582278481
INFO: 01/15/2021 02:21:28 epoch 41, shard 1, rewards train 0.9028701186180115, rewards val 0.9121835443037974
INFO: 01/15/2021 02:26:20 epoch 42, shard 0, rewards train 0.8997949957847595, rewards val 0.904568829113924
INFO: 01/15/2021 02:31:15 epoch 42, shard 1, rewards train 0.8969137668609619, rewards val 0.9156447784810127
INFO: 01/15/2021 02:36:13 epoch 43, shard 0, rewards train 0.902205228805542, rewards val 0.9122824367088608
INFO: 01/15/2021 02:41:05 epoch 43, shard 1, rewards train 0.8985483050346375, rewards val 0.9092167721518988
INFO: 01/15/2021 02:45:57 epoch 44, shard 0, rewards train 0.904781699180603, rewards val 0.913370253164557
INFO: 01/15/2021 02:50:50 epoch 44, shard 1, rewards train 0.9041721820831299, rewards val 0.917128164556962
INFO: 01/15/2021 02:55:41 epoch 45, shard 0, rewards train 0.902482271194458, rewards val 0.9027887658227848
INFO: 01/15/2021 03:00:33 epoch 45, shard 1, rewards train 0.9026485085487366, rewards val 0.9076344936708861
INFO: 01/15/2021 03:05:31 epoch 46, shard 0, rewards train 0.899490237236023, rewards val 0.9213805379746836
