INFO: 01/15/2021 08:54:54 epoch 0, shard 0, rewards train 0.6982157230377197, rewards val 0.7757048342985844
INFO: 01/15/2021 08:59:29 epoch 0, shard 1, rewards train 0.7719604969024658, rewards val 0.7861617197554697
INFO: 01/15/2021 09:04:09 epoch 1, shard 0, rewards train 0.7725092768669128, rewards val 0.8056075048262548
INFO: 01/15/2021 09:08:50 epoch 1, shard 1, rewards train 0.7793970108032227, rewards val 0.8043506676319176
INFO: 01/15/2021 09:13:31 epoch 2, shard 0, rewards train 0.7928145527839661, rewards val 0.8143701737451737
INFO: 01/15/2021 09:18:11 epoch 2, shard 1, rewards train 0.7973899245262146, rewards val 0.8077240186615187
INFO: 01/15/2021 09:22:46 epoch 3, shard 0, rewards train 0.8065845370292664, rewards val 0.8418345801158301
INFO: 01/15/2021 09:27:25 epoch 3, shard 1, rewards train 0.8231647610664368, rewards val 0.8437198359073359
INFO: 01/15/2021 09:32:05 epoch 4, shard 0, rewards train 0.8317103981971741, rewards val 0.8409598214285714
INFO: 01/15/2021 09:36:43 epoch 4, shard 1, rewards train 0.853359580039978, rewards val 0.8853261743886743
INFO: 01/15/2021 09:41:17 epoch 5, shard 0, rewards train 0.8643621802330017, rewards val 0.8840542551480052
INFO: 01/15/2021 09:45:51 epoch 5, shard 1, rewards train 0.8654329180717468, rewards val 0.871697031853282
INFO: 01/15/2021 09:50:30 epoch 6, shard 0, rewards train 0.8717401027679443, rewards val 0.8778303973616473
INFO: 01/15/2021 09:55:02 epoch 6, shard 1, rewards train 0.877556324005127, rewards val 0.894184362934363
INFO: 01/15/2021 09:59:43 epoch 7, shard 0, rewards train 0.868878960609436, rewards val 0.8727527750965252
INFO: 01/15/2021 10:04:21 epoch 7, shard 1, rewards train 0.861211359500885, rewards val 0.8832096605534105
INFO: 01/15/2021 10:08:55 epoch 8, shard 0, rewards train 0.8776695728302002, rewards val 0.8894335183397684
INFO: 01/15/2021 10:13:36 epoch 8, shard 1, rewards train 0.8766486048698425, rewards val 0.8960897281209781
INFO: 01/15/2021 10:18:11 epoch 9, shard 0, rewards train 0.8800946474075317, rewards val 0.9025247345559846
INFO: 01/15/2021 10:22:51 epoch 9, shard 1, rewards train 0.8787098526954651, rewards val 0.8922991071428572
INFO: 01/15/2021 10:27:36 epoch 10, shard 0, rewards train 0.8869025707244873, rewards val 0.8988346605534105
INFO: 01/15/2021 10:32:21 epoch 10, shard 1, rewards train 0.8813635110855103, rewards val 0.9011572956885456
INFO: 01/15/2021 10:36:54 epoch 11, shard 0, rewards train 0.8816148042678833, rewards val 0.8876437821750321
INFO: 01/15/2021 10:41:34 epoch 11, shard 1, rewards train 0.8781777620315552, rewards val 0.8920779037966537
INFO: 01/15/2021 10:46:09 epoch 12, shard 0, rewards train 0.87984699010849, rewards val 0.8930481821106822
INFO: 01/15/2021 10:50:49 epoch 12, shard 1, rewards train 0.8781175017356873, rewards val 0.8839386261261261
INFO: 01/15/2021 10:55:30 epoch 13, shard 0, rewards train 0.8869617581367493, rewards val 0.8913539655727155
INFO: 01/15/2021 11:00:13 epoch 13, shard 1, rewards train 0.8830804824829102, rewards val 0.8928118967181468
INFO: 01/15/2021 11:04:53 epoch 14, shard 0, rewards train 0.8828669786453247, rewards val 0.8963109314671815
INFO: 01/15/2021 11:09:33 epoch 14, shard 1, rewards train 0.8883673548698425, rewards val 0.9070795125482626
