INFO: 01/20/2021 09:27:12 epoch 0, shard 0, rewards train 0.608322262763977, rewards val 0.7212223101265823
INFO: 01/20/2021 09:31:28 epoch 0, shard 1, rewards train 0.7803635001182556, rewards val 0.8174446202531646
INFO: 01/20/2021 09:35:31 epoch 1, shard 0, rewards train 0.811668872833252, rewards val 0.837618670886076
INFO: 01/20/2021 09:39:33 epoch 1, shard 1, rewards train 0.8292331695556641, rewards val 0.8337618670886076
INFO: 01/20/2021 09:43:36 epoch 2, shard 0, rewards train 0.8361591100692749, rewards val 0.8590783227848101
INFO: 01/20/2021 09:47:39 epoch 2, shard 1, rewards train 0.848708987236023, rewards val 0.8796479430379747
INFO: 01/20/2021 09:51:42 epoch 3, shard 0, rewards train 0.8702903389930725, rewards val 0.8949762658227848
INFO: 01/20/2021 09:55:45 epoch 3, shard 1, rewards train 0.8769946694374084, rewards val 0.8994264240506329
INFO: 01/20/2021 09:59:46 epoch 4, shard 0, rewards train 0.8868295550346375, rewards val 0.9076344936708861
INFO: 01/20/2021 10:03:48 epoch 4, shard 1, rewards train 0.8937555551528931, rewards val 0.9223694620253164
INFO: 01/20/2021 10:07:50 epoch 5, shard 0, rewards train 0.8904310464859009, rewards val 0.9143591772151899
INFO: 01/20/2021 10:11:52 epoch 5, shard 1, rewards train 0.8938940763473511, rewards val 0.9043710443037974
INFO: 01/20/2021 10:15:53 epoch 6, shard 0, rewards train 0.8954177498817444, rewards val 0.9169303797468354
INFO: 01/20/2021 10:19:54 epoch 6, shard 1, rewards train 0.904227614402771, rewards val 0.9226661392405063
INFO: 01/20/2021 10:23:56 epoch 7, shard 0, rewards train 0.90694260597229, rewards val 0.9127768987341772
INFO: 01/20/2021 10:27:59 epoch 7, shard 1, rewards train 0.8998227119445801, rewards val 0.9232594936708861
INFO: 01/20/2021 10:32:01 epoch 8, shard 0, rewards train 0.914616584777832, rewards val 0.9253362341772152
INFO: 01/20/2021 10:36:04 epoch 8, shard 1, rewards train 0.9138131737709045, rewards val 0.9287974683544303
INFO: 01/20/2021 10:40:06 epoch 9, shard 0, rewards train 0.9146443009376526, rewards val 0.9166337025316456
INFO: 01/20/2021 10:44:09 epoch 9, shard 1, rewards train 0.9074135422706604, rewards val 0.9014042721518988
INFO: 01/20/2021 10:48:12 epoch 10, shard 0, rewards train 0.9053911566734314, rewards val 0.9140625
INFO: 01/20/2021 10:52:15 epoch 10, shard 1, rewards train 0.9131205677986145, rewards val 0.9175237341772152
INFO: 01/20/2021 10:56:18 epoch 11, shard 0, rewards train 0.912871241569519, rewards val 0.9241495253164557
INFO: 01/20/2021 11:00:26 epoch 11, shard 1, rewards train 0.9112644195556641, rewards val 0.9181170886075949
INFO: 01/20/2021 11:04:28 epoch 12, shard 0, rewards train 0.913923978805542, rewards val 0.9350276898734177
INFO: 01/20/2021 11:08:29 epoch 12, shard 1, rewards train 0.919021487236023, rewards val 0.9275118670886076
INFO: 01/20/2021 11:12:31 epoch 13, shard 0, rewards train 0.924950122833252, rewards val 0.934434335443038
