INFO: 01/15/2021 10:17:35 epoch 0, shard 0, rewards train 0.6956172585487366, rewards val 0.7955893987341772
INFO: 01/15/2021 10:23:00 epoch 0, shard 1, rewards train 0.8081504702568054, rewards val 0.8435522151898734
INFO: 01/15/2021 10:28:13 epoch 1, shard 0, rewards train 0.8351895213127136, rewards val 0.8810324367088608
INFO: 01/15/2021 10:33:29 epoch 1, shard 1, rewards train 0.8690159320831299, rewards val 0.900810917721519
INFO: 01/15/2021 10:39:23 epoch 2, shard 0, rewards train 0.8718417286872864, rewards val 0.899129746835443
INFO: 01/15/2021 10:44:26 epoch 2, shard 1, rewards train 0.881759762763977, rewards val 0.9017009493670886
INFO: 01/15/2021 10:49:38 epoch 3, shard 0, rewards train 0.8811225891113281, rewards val 0.8928995253164557
INFO: 01/15/2021 10:54:39 epoch 3, shard 1, rewards train 0.8951684236526489, rewards val 0.9034810126582279
INFO: 01/15/2021 10:59:33 epoch 4, shard 0, rewards train 0.8882701396942139, rewards val 0.8873615506329114
INFO: 01/15/2021 11:04:33 epoch 4, shard 1, rewards train 0.8975232839584351, rewards val 0.9204905063291139
INFO: 01/15/2021 11:09:29 epoch 5, shard 0, rewards train 0.9004044532775879, rewards val 0.9154469936708861
INFO: 01/15/2021 11:14:27 epoch 5, shard 1, rewards train 0.9057236313819885, rewards val 0.9194026898734177
INFO: 01/15/2021 11:19:23 epoch 6, shard 0, rewards train 0.909103512763977, rewards val 0.915743670886076
INFO: 01/15/2021 11:24:12 epoch 6, shard 1, rewards train 0.9154754281044006, rewards val 0.9178204113924051
INFO: 01/15/2021 11:29:14 epoch 7, shard 0, rewards train 0.9040336608886719, rewards val 0.900118670886076
INFO: 01/15/2021 11:34:34 epoch 7, shard 1, rewards train 0.9075520634651184, rewards val 0.9081289556962026
INFO: 01/15/2021 11:39:28 epoch 8, shard 0, rewards train 0.9060837626457214, rewards val 0.9234572784810127
INFO: 01/15/2021 11:44:27 epoch 8, shard 1, rewards train 0.9180795550346375, rewards val 0.9057555379746836
INFO: 01/15/2021 11:49:22 epoch 9, shard 0, rewards train 0.9128989577293396, rewards val 0.9205893987341772
INFO: 01/15/2021 11:54:40 epoch 9, shard 1, rewards train 0.9173869490623474, rewards val 0.926621835443038
INFO: 01/15/2021 11:59:35 epoch 10, shard 0, rewards train 0.9113197922706604, rewards val 0.9103045886075949
INFO: 01/16/2021 12:04:42 epoch 10, shard 1, rewards train 0.9074966907501221, rewards val 0.9203916139240507
INFO: 01/16/2021 12:09:31 epoch 11, shard 0, rewards train 0.910987377166748, rewards val 0.9155458860759493
INFO: 01/16/2021 12:14:30 epoch 11, shard 1, rewards train 0.9060837626457214, rewards val 0.9297863924050633
INFO: 01/16/2021 12:19:23 epoch 12, shard 0, rewards train 0.9179964661598206, rewards val 0.9237539556962026
INFO: 01/16/2021 12:24:23 epoch 12, shard 1, rewards train 0.9155030846595764, rewards val 0.8944818037974683
INFO: 01/16/2021 12:29:17 epoch 13, shard 0, rewards train 0.9145334959030151, rewards val 0.9251384493670886
INFO: 01/16/2021 12:34:16 epoch 13, shard 1, rewards train 0.9174423813819885, rewards val 0.9192049050632911
INFO: 01/16/2021 12:39:10 epoch 14, shard 0, rewards train 0.9114583134651184, rewards val 0.9245450949367089
INFO: 01/16/2021 12:44:04 epoch 14, shard 1, rewards train 0.9171653389930725, rewards val 0.9150514240506329
INFO: 01/16/2021 12:49:09 epoch 15, shard 0, rewards train 0.9213486313819885, rewards val 0.9308742088607594
INFO: 01/16/2021 12:53:58 epoch 15, shard 1, rewards train 0.9282745718955994, rewards val 0.9369066455696202
INFO: 01/16/2021 12:58:57 epoch 16, shard 0, rewards train 0.9258920550346375, rewards val 0.9255340189873418
INFO: 01/16/2021 01:03:51 epoch 16, shard 1, rewards train 0.9182180762290955, rewards val 0.9207871835443038
INFO: 01/16/2021 01:08:50 epoch 17, shard 0, rewards train 0.9166666865348816, rewards val 0.9251384493670886
INFO: 01/16/2021 01:13:51 epoch 17, shard 1, rewards train 0.9208776354789734, rewards val 0.928995253164557
INFO: 01/16/2021 01:18:46 epoch 18, shard 0, rewards train 0.918938398361206, rewards val 0.9042721518987342
INFO: 01/16/2021 01:23:52 epoch 18, shard 1, rewards train 0.905058741569519, rewards val 0.9080300632911392
INFO: 01/16/2021 01:28:41 epoch 19, shard 0, rewards train 0.91084885597229, rewards val 0.9112935126582279
INFO: 01/16/2021 01:33:53 epoch 19, shard 1, rewards train 0.9083001017570496, rewards val 0.9064477848101266
INFO: 01/16/2021 01:38:52 epoch 20, shard 0, rewards train 0.9150598645210266, rewards val 0.924248417721519
INFO: 01/16/2021 01:43:47 epoch 20, shard 1, rewards train 0.9165281653404236, rewards val 0.9180181962025317
INFO: 01/16/2021 01:48:46 epoch 21, shard 0, rewards train 0.913646936416626, rewards val 0.9206882911392406
INFO: 01/16/2021 01:53:41 epoch 21, shard 1, rewards train 0.910710334777832, rewards val 0.9233583860759493
INFO: 01/16/2021 01:58:53 epoch 22, shard 0, rewards train 0.922706127166748, rewards val 0.9316653481012658
INFO: 01/16/2021 02:03:51 epoch 22, shard 1, rewards train 0.920905351638794, rewards val 0.921875
INFO: 01/16/2021 02:08:44 epoch 23, shard 0, rewards train 0.915946364402771, rewards val 0.936807753164557
INFO: 01/16/2021 02:13:38 epoch 23, shard 1, rewards train 0.9188829660415649, rewards val 0.9233583860759493
INFO: 01/16/2021 02:18:50 epoch 24, shard 0, rewards train 0.9226784110069275, rewards val 0.9377966772151899
INFO: 01/16/2021 02:23:48 epoch 24, shard 1, rewards train 0.9240636229515076, rewards val 0.9349287974683544
INFO: 01/16/2021 02:28:42 epoch 25, shard 0, rewards train 0.9265292286872864, rewards val 0.9294897151898734
INFO: 01/16/2021 02:33:36 epoch 25, shard 1, rewards train 0.9236480593681335, rewards val 0.9337420886075949
INFO: 01/16/2021 02:38:41 epoch 26, shard 0, rewards train 0.9291056990623474, rewards val 0.9371044303797469
INFO: 01/16/2021 02:43:29 epoch 26, shard 1, rewards train 0.9265569448471069, rewards val 0.9311708860759493
INFO: 01/16/2021 02:48:54 epoch 27, shard 0, rewards train 0.925227165222168, rewards val 0.9269185126582279
INFO: 01/16/2021 02:53:41 epoch 27, shard 1, rewards train 0.9224844574928284, rewards val 0.9196004746835443
INFO: 01/16/2021 02:58:34 epoch 28, shard 0, rewards train 0.9238419532775879, rewards val 0.9292919303797469
INFO: 01/16/2021 03:03:27 epoch 28, shard 1, rewards train 0.9294935464859009, rewards val 0.932060917721519
INFO: 01/16/2021 03:08:55 epoch 29, shard 0, rewards train 0.9236480593681335, rewards val 0.9302808544303798
INFO: 01/16/2021 03:13:51 epoch 29, shard 1, rewards train 0.910987377166748, rewards val 0.8933939873417721
INFO: 01/16/2021 03:18:45 epoch 30, shard 0, rewards train 0.9079399108886719, rewards val 0.9190071202531646
INFO: 01/16/2021 03:24:03 epoch 30, shard 1, rewards train 0.9188829660415649, rewards val 0.9334454113924051
INFO: 01/16/2021 03:28:57 epoch 31, shard 0, rewards train 0.927388072013855, rewards val 0.9384889240506329
INFO: 01/16/2021 03:33:52 epoch 31, shard 1, rewards train 0.930518627166748, rewards val 0.9354232594936709
INFO: 01/16/2021 03:38:40 epoch 32, shard 0, rewards train 0.9251440763473511, rewards val 0.9300830696202531
INFO: 01/16/2021 03:43:33 epoch 32, shard 1, rewards train 0.9203512668609619, rewards val 0.9305775316455697
