INFO: 01/20/2021 10:10:19 epoch 0, shard 0, rewards train 0.6340429186820984, rewards val 0.7956835183397682
INFO: 01/20/2021 10:17:12 epoch 0, shard 1, rewards train 0.7806210517883301, rewards val 0.8218709781209781
INFO: 01/20/2021 10:23:48 epoch 1, shard 0, rewards train 0.8219836950302124, rewards val 0.8645179777992278
INFO: 01/20/2021 10:30:23 epoch 1, shard 1, rewards train 0.8497799634933472, rewards val 0.8762417551480052
INFO: 01/20/2021 10:36:56 epoch 2, shard 0, rewards train 0.8572178483009338, rewards val 0.8869097892535391
INFO: 01/20/2021 10:43:30 epoch 2, shard 1, rewards train 0.873008668422699, rewards val 0.8997798021235521
INFO: 01/20/2021 10:50:04 epoch 3, shard 0, rewards train 0.8811101317405701, rewards val 0.8982162966537967
INFO: 01/20/2021 10:56:39 epoch 3, shard 1, rewards train 0.8833461999893188, rewards val 0.9016851673101673
INFO: 01/20/2021 11:03:12 epoch 4, shard 0, rewards train 0.8881252408027649, rewards val 0.9067627895752896
INFO: 01/20/2021 11:09:45 epoch 4, shard 1, rewards train 0.8877754807472229, rewards val 0.901579592985843
INFO: 01/20/2021 11:16:17 epoch 5, shard 0, rewards train 0.8966884016990662, rewards val 0.9249165460102959
INFO: 01/20/2021 11:22:54 epoch 5, shard 1, rewards train 0.9006774425506592, rewards val 0.9228201415701417
INFO: 01/20/2021 11:29:34 epoch 6, shard 0, rewards train 0.9073901176452637, rewards val 0.9214175112612611
INFO: 01/20/2021 11:36:10 epoch 6, shard 1, rewards train 0.9076418876647949, rewards val 0.9350617358429858
INFO: 01/20/2021 11:42:47 epoch 7, shard 0, rewards train 0.9090769290924072, rewards val 0.9230162081724581
INFO: 01/20/2021 11:49:38 epoch 7, shard 1, rewards train 0.9135206937789917, rewards val 0.9361225064350065
INFO: 01/20/2021 11:56:14 epoch 8, shard 0, rewards train 0.9201056957244873, rewards val 0.9312660875160876
INFO: 01/21/2021 12:02:51 epoch 8, shard 1, rewards train 0.9226153492927551, rewards val 0.9436182834620336
INFO: 01/21/2021 12:09:25 epoch 9, shard 0, rewards train 0.9185574650764465, rewards val 0.9289384250321749
