INFO: 01/20/2021 02:23:47 epoch 0, shard 0, rewards train 0.670822262763977, rewards val 0.783623417721519
INFO: 01/20/2021 02:26:52 epoch 0, shard 1, rewards train 0.7752105593681335, rewards val 0.7840189873417721
INFO: 01/20/2021 02:29:41 epoch 1, shard 0, rewards train 0.7911956906318665, rewards val 0.8047863924050633
INFO: 01/20/2021 02:32:31 epoch 1, shard 1, rewards train 0.7934674024581909, rewards val 0.8208069620253164
INFO: 01/20/2021 02:35:22 epoch 2, shard 0, rewards train 0.796736478805542, rewards val 0.8208069620253164
INFO: 01/20/2021 02:38:12 epoch 2, shard 1, rewards train 0.8091755509376526, rewards val 0.8117088607594937
INFO: 01/20/2021 02:41:03 epoch 3, shard 0, rewards train 0.806709885597229, rewards val 0.8195213607594937
INFO: 01/20/2021 02:43:54 epoch 3, shard 1, rewards train 0.8102560043334961, rewards val 0.8341574367088608
INFO: 01/20/2021 02:46:45 epoch 4, shard 0, rewards train 0.8034685254096985, rewards val 0.8293117088607594
INFO: 01/20/2021 02:49:36 epoch 4, shard 1, rewards train 0.810893177986145, rewards val 0.8259493670886076
INFO: 01/20/2021 02:52:28 epoch 5, shard 0, rewards train 0.8147163391113281, rewards val 0.8399920886075949
INFO: 01/20/2021 02:55:21 epoch 5, shard 1, rewards train 0.818290114402771, rewards val 0.8156645569620253
INFO: 01/20/2021 02:58:13 epoch 6, shard 0, rewards train 0.8173204660415649, rewards val 0.8293117088607594
INFO: 01/20/2021 03:01:04 epoch 6, shard 1, rewards train 0.8163785338401794, rewards val 0.8195213607594937
INFO: 01/20/2021 03:03:57 epoch 7, shard 0, rewards train 0.8144115805625916, rewards val 0.8386075949367089
INFO: 01/20/2021 03:06:48 epoch 7, shard 1, rewards train 0.8157413601875305, rewards val 0.8337618670886076
INFO: 01/20/2021 03:09:40 epoch 8, shard 0, rewards train 0.8196476101875305, rewards val 0.837618670886076
INFO: 01/20/2021 03:12:33 epoch 8, shard 1, rewards train 0.822334885597229, rewards val 0.8369264240506329
INFO: 01/20/2021 03:15:30 epoch 9, shard 0, rewards train 0.820035457611084, rewards val 0.8263449367088608
INFO: 01/20/2021 03:18:21 epoch 9, shard 1, rewards train 0.8204233050346375, rewards val 0.8259493670886076
INFO: 01/20/2021 03:21:14 epoch 10, shard 0, rewards train 0.8217254281044006, rewards val 0.831190664556962
INFO: 01/20/2021 03:24:05 epoch 10, shard 1, rewards train 0.8264627456665039, rewards val 0.8399920886075949
INFO: 01/20/2021 03:26:58 epoch 11, shard 0, rewards train 0.8205341100692749, rewards val 0.8275316455696202
INFO: 01/20/2021 03:29:49 epoch 11, shard 1, rewards train 0.821282148361206, rewards val 0.8209058544303798
INFO: 01/20/2021 03:32:41 epoch 12, shard 0, rewards train 0.815436601638794, rewards val 0.8316851265822784
INFO: 01/20/2021 03:35:34 epoch 12, shard 1, rewards train 0.8228612542152405, rewards val 0.8378164556962026
INFO: 01/20/2021 03:38:26 epoch 13, shard 0, rewards train 0.825687050819397, rewards val 0.8350474683544303
INFO: 01/20/2021 03:41:18 epoch 13, shard 1, rewards train 0.830701470375061, rewards val 0.8302017405063291
INFO: 01/20/2021 03:44:09 epoch 14, shard 0, rewards train 0.8311724066734314, rewards val 0.8247626582278481
INFO: 01/20/2021 03:47:00 epoch 14, shard 1, rewards train 0.8230552077293396, rewards val 0.8306962025316456
INFO: 01/20/2021 03:49:51 epoch 15, shard 0, rewards train 0.823941707611084, rewards val 0.8416732594936709
INFO: 01/20/2021 03:52:41 epoch 15, shard 1, rewards train 0.8313940763473511, rewards val 0.8497824367088608
INFO: 01/20/2021 03:55:33 epoch 16, shard 0, rewards train 0.8249667286872864, rewards val 0.8388053797468354
INFO: 01/20/2021 03:58:27 epoch 16, shard 1, rewards train 0.8267120718955994, rewards val 0.8369264240506329
INFO: 01/20/2021 04:01:18 epoch 17, shard 0, rewards train 0.8314217925071716, rewards val 0.8448378164556962
INFO: 01/20/2021 04:04:10 epoch 17, shard 1, rewards train 0.8239694237709045, rewards val 0.8364319620253164
INFO: 01/20/2021 04:07:02 epoch 18, shard 0, rewards train 0.8274601101875305, rewards val 0.8284216772151899
INFO: 01/20/2021 04:09:54 epoch 18, shard 1, rewards train 0.8261857032775879, rewards val 0.836629746835443
INFO: 01/20/2021 04:12:46 epoch 19, shard 0, rewards train 0.8307568430900574, rewards val 0.846123417721519
INFO: 01/20/2021 04:15:37 epoch 19, shard 1, rewards train 0.833361029624939, rewards val 0.8482001582278481
INFO: 01/20/2021 04:18:28 epoch 20, shard 0, rewards train 0.8287621736526489, rewards val 0.8414754746835443
INFO: 01/20/2021 04:21:18 epoch 20, shard 1, rewards train 0.833776593208313, rewards val 0.8356408227848101
INFO: 01/20/2021 04:24:10 epoch 21, shard 0, rewards train 0.829731822013855, rewards val 0.8293117088607594
INFO: 01/20/2021 04:27:00 epoch 21, shard 1, rewards train 0.8313663601875305, rewards val 0.8378164556962026
INFO: 01/20/2021 04:29:51 epoch 22, shard 0, rewards train 0.826241135597229, rewards val 0.8408821202531646
