INFO: 01/16/2021 10:17:58 epoch 0, shard 0, rewards train 0.6895216703414917, rewards val 0.7995746862934363
INFO: 01/16/2021 10:24:49 epoch 0, shard 1, rewards train 0.7815679907798767, rewards val 0.8045517615830116
INFO: 01/16/2021 10:31:24 epoch 1, shard 0, rewards train 0.7955775856971741, rewards val 0.8146667873230373
INFO: 01/16/2021 10:38:00 epoch 1, shard 1, rewards train 0.8083102107048035, rewards val 0.8262095801158301
INFO: 01/16/2021 10:44:36 epoch 2, shard 0, rewards train 0.8109331130981445, rewards val 0.8465803973616474
INFO: 01/16/2021 10:51:14 epoch 2, shard 1, rewards train 0.8213595747947693, rewards val 0.8372647200772201
INFO: 01/16/2021 10:58:02 epoch 3, shard 0, rewards train 0.8315390348434448, rewards val 0.8370736808236808
INFO: 01/16/2021 11:04:38 epoch 3, shard 1, rewards train 0.835957944393158, rewards val 0.8416133767696268
INFO: 01/16/2021 11:11:12 epoch 4, shard 0, rewards train 0.8321433663368225, rewards val 0.8505821669884169
INFO: 01/16/2021 11:17:49 epoch 4, shard 1, rewards train 0.8322889804840088, rewards val 0.8540711470398971
INFO: 01/16/2021 11:24:23 epoch 5, shard 0, rewards train 0.8433403968811035, rewards val 0.8529148568211068
INFO: 01/16/2021 11:30:59 epoch 5, shard 1, rewards train 0.8420050740242004, rewards val 0.8594654922779923
INFO: 01/16/2021 11:37:34 epoch 6, shard 0, rewards train 0.8476499915122986, rewards val 0.8554637226512226
INFO: 01/16/2021 11:44:08 epoch 6, shard 1, rewards train 0.8484466671943665, rewards val 0.8672830196267696
INFO: 01/16/2021 11:50:43 epoch 7, shard 0, rewards train 0.8511607050895691, rewards val 0.8525931064993565
INFO: 01/16/2021 11:57:22 epoch 7, shard 1, rewards train 0.8577587008476257, rewards val 0.8652670527670526
INFO: 01/16/2021 12:03:57 epoch 8, shard 0, rewards train 0.8531947731971741, rewards val 0.8681276142213642
INFO: 01/16/2021 12:10:33 epoch 8, shard 1, rewards train 0.8550458550453186, rewards val 0.8673785392535391
INFO: 01/16/2021 12:17:09 epoch 9, shard 0, rewards train 0.8560762405395508, rewards val 0.8774030727155727
INFO: 01/16/2021 12:23:48 epoch 9, shard 1, rewards train 0.861289918422699, rewards val 0.8838481338481338
INFO: 01/16/2021 12:30:24 epoch 10, shard 0, rewards train 0.865139365196228, rewards val 0.8652670527670526
INFO: 01/16/2021 12:36:58 epoch 10, shard 1, rewards train 0.860234260559082, rewards val 0.8614663770913771
INFO: 01/16/2021 12:43:33 epoch 11, shard 0, rewards train 0.8564188480377197, rewards val 0.8750904922779923
INFO: 01/16/2021 12:50:12 epoch 11, shard 1, rewards train 0.8609444499015808, rewards val 0.8736074243886743
INFO: 01/16/2021 12:56:56 epoch 12, shard 0, rewards train 0.8655256032943726, rewards val 0.8709680662805662
INFO: 01/16/2021 01:03:31 epoch 12, shard 1, rewards train 0.8649298548698425, rewards val 0.8812138030888031
INFO: 01/16/2021 01:10:07 epoch 13, shard 0, rewards train 0.8626255393028259, rewards val 0.8812841859716859
INFO: 01/16/2021 01:16:44 epoch 13, shard 1, rewards train 0.8594751358032227, rewards val 0.8777147683397684
INFO: 01/16/2021 01:23:18 epoch 14, shard 0, rewards train 0.8652001023292542, rewards val 0.8842754584942085
INFO: 01/16/2021 01:29:55 epoch 14, shard 1, rewards train 0.8625327944755554, rewards val 0.8692688223938224
INFO: 01/16/2021 01:36:33 epoch 15, shard 0, rewards train 0.8601117134094238, rewards val 0.8761361808236808
INFO: 01/16/2021 01:43:10 epoch 15, shard 1, rewards train 0.8654620051383972, rewards val 0.8760205518018017
INFO: 01/16/2021 01:49:45 epoch 16, shard 0, rewards train 0.8648512363433838, rewards val 0.8754725707850708
INFO: 01/16/2021 01:56:20 epoch 16, shard 1, rewards train 0.8598689436912537, rewards val 0.8699072956885456
INFO: 01/16/2021 02:02:55 epoch 17, shard 0, rewards train 0.8614200353622437, rewards val 0.8717020592020592
INFO: 01/16/2021 02:09:30 epoch 17, shard 1, rewards train 0.861625075340271, rewards val 0.8724410794723294
INFO: 01/16/2021 02:16:04 epoch 18, shard 0, rewards train 0.8664912581443787, rewards val 0.8745525659588159
INFO: 01/16/2021 02:22:39 epoch 18, shard 1, rewards train 0.8705223798751831, rewards val 0.8725315717503218
INFO: 01/16/2021 02:29:17 epoch 19, shard 0, rewards train 0.8615882396697998, rewards val 0.8799469111969113
INFO: 01/16/2021 02:35:52 epoch 19, shard 1, rewards train 0.8630751371383667, rewards val 0.8848988497425997
INFO: 01/16/2021 02:42:29 epoch 20, shard 0, rewards train 0.8604636788368225, rewards val 0.8762518098455598
INFO: 01/16/2021 02:49:07 epoch 20, shard 1, rewards train 0.8634302616119385, rewards val 0.8887045527670526
INFO: 01/16/2021 02:55:50 epoch 21, shard 0, rewards train 0.8675582408905029, rewards val 0.8757189108751607
INFO: 01/16/2021 03:02:25 epoch 21, shard 1, rewards train 0.8645058870315552, rewards val 0.8821388352638353
INFO: 01/16/2021 03:09:03 epoch 22, shard 0, rewards train 0.8691468834877014, rewards val 0.8895491473616473
INFO: 01/16/2021 03:15:40 epoch 22, shard 1, rewards train 0.8705126643180847, rewards val 0.8802636341698842
INFO: 01/16/2021 03:22:19 epoch 23, shard 0, rewards train 0.8746588826179504, rewards val 0.8835263835263835
INFO: 01/16/2021 03:28:58 epoch 23, shard 1, rewards train 0.8677309155464172, rewards val 0.8728633767696268
INFO: 01/16/2021 03:35:34 epoch 24, shard 0, rewards train 0.8673977851867676, rewards val 0.8860501126126126
INFO: 01/16/2021 03:42:09 epoch 24, shard 1, rewards train 0.8732157945632935, rewards val 0.8873320865508365
INFO: 01/16/2021 03:48:45 epoch 25, shard 0, rewards train 0.8691063523292542, rewards val 0.8721344111969113
INFO: 01/16/2021 03:55:22 epoch 25, shard 1, rewards train 0.8702759146690369, rewards val 0.8898658703346203
INFO: 01/16/2021 04:02:01 epoch 26, shard 0, rewards train 0.8771057724952698, rewards val 0.8744469916344916
INFO: 01/16/2021 04:08:41 epoch 26, shard 1, rewards train 0.8766679763793945, rewards val 0.877925916988417
INFO: 01/16/2021 04:15:19 epoch 27, shard 0, rewards train 0.8752912282943726, rewards val 0.8799318291505792
INFO: 01/16/2021 04:21:55 epoch 27, shard 1, rewards train 0.8682641983032227, rewards val 0.8747536599099098
INFO: 01/16/2021 04:28:34 epoch 28, shard 0, rewards train 0.8782505393028259, rewards val 0.8871259652509653
INFO: 01/16/2021 04:35:12 epoch 28, shard 1, rewards train 0.8754552006721497, rewards val 0.8719182351994851
INFO: 01/16/2021 04:41:49 epoch 29, shard 0, rewards train 0.8775606155395508, rewards val 0.8777147683397684
INFO: 01/16/2021 04:48:30 epoch 29, shard 1, rewards train 0.8711346983909607, rewards val 0.8785643902831403
INFO: 01/16/2021 04:55:13 epoch 30, shard 0, rewards train 0.8670255541801453, rewards val 0.8801530324967825
INFO: 01/16/2021 05:01:50 epoch 30, shard 1, rewards train 0.8738173246383667, rewards val 0.8842654037966537
INFO: 01/16/2021 05:08:30 epoch 31, shard 0, rewards train 0.8718693852424622, rewards val 0.8978895189832689
INFO: 01/16/2021 05:15:06 epoch 31, shard 1, rewards train 0.875879168510437, rewards val 0.8795246138996139
INFO: 01/16/2021 05:21:45 epoch 32, shard 0, rewards train 0.8711560368537903, rewards val 0.8752865588803089
INFO: 01/16/2021 05:28:24 epoch 32, shard 1, rewards train 0.8684911727905273, rewards val 0.8760456885456885
INFO: 01/16/2021 05:35:02 epoch 33, shard 0, rewards train 0.8759422898292542, rewards val 0.8855473777348777
INFO: 01/16/2021 05:41:39 epoch 33, shard 1, rewards train 0.8762052059173584, rewards val 0.8682331885456885
INFO: 01/16/2021 05:48:19 epoch 34, shard 0, rewards train 0.8778253197669983, rewards val 0.8974722490347491
INFO: 01/16/2021 05:54:59 epoch 34, shard 1, rewards train 0.8783547282218933, rewards val 0.8949284105534105
INFO: 01/16/2021 06:01:38 epoch 35, shard 0, rewards train 0.8726372718811035, rewards val 0.882133807915058
INFO: 01/16/2021 06:08:17 epoch 35, shard 1, rewards train 0.8812844157218933, rewards val 0.8899714446589446
INFO: 01/16/2021 06:14:57 epoch 36, shard 0, rewards train 0.8844463229179382, rewards val 0.886070222007722
INFO: 01/16/2021 06:21:34 epoch 36, shard 1, rewards train 0.8790149092674255, rewards val 0.8942698278635778
INFO: 01/16/2021 06:28:13 epoch 37, shard 0, rewards train 0.8807363510131836, rewards val 0.8924851190476191
INFO: 01/16/2021 06:34:51 epoch 37, shard 1, rewards train 0.8829706907272339, rewards val 0.8947172619047619
INFO: 01/16/2021 06:41:30 epoch 38, shard 0, rewards train 0.8705471158027649, rewards val 0.8862763433075932
INFO: 01/16/2021 06:48:08 epoch 38, shard 1, rewards train 0.8781378865242004, rewards val 0.8914494851994851
INFO: 01/16/2021 06:54:58 epoch 39, shard 0, rewards train 0.8736340403556824, rewards val 0.8876236727799228
INFO: 01/16/2021 07:01:37 epoch 39, shard 1, rewards train 0.8756429553031921, rewards val 0.8966326817889317
INFO: 01/16/2021 07:08:15 epoch 40, shard 0, rewards train 0.8796414136886597, rewards val 0.8949334379021878
INFO: 01/16/2021 07:14:52 epoch 40, shard 1, rewards train 0.8834248185157776, rewards val 0.8959690717503218
INFO: 01/16/2021 07:21:29 epoch 41, shard 0, rewards train 0.8812113404273987, rewards val 0.8947222892535391
INFO: 01/16/2021 07:28:07 epoch 41, shard 1, rewards train 0.8844605684280396, rewards val 0.8857484716859716
INFO: 01/16/2021 07:34:47 epoch 42, shard 0, rewards train 0.8832999467849731, rewards val 0.8985179375804375
INFO: 01/16/2021 07:41:25 epoch 42, shard 1, rewards train 0.8840365409851074, rewards val 0.9018007963320464
INFO: 01/16/2021 07:48:02 epoch 43, shard 0, rewards train 0.8777178525924683, rewards val 0.8922840250965252
INFO: 01/16/2021 07:54:41 epoch 43, shard 1, rewards train 0.8858712911605835, rewards val 0.8786749919562419
INFO: 01/16/2021 08:01:19 epoch 44, shard 0, rewards train 0.8844447731971741, rewards val 0.8974621943371943
INFO: 01/16/2021 08:07:55 epoch 44, shard 1, rewards train 0.8858023881912231, rewards val 0.8964165057915058
INFO: 01/16/2021 08:14:32 epoch 45, shard 0, rewards train 0.881083607673645, rewards val 0.8788710585585585
INFO: 01/16/2021 08:21:16 epoch 45, shard 1, rewards train 0.8804762959480286, rewards val 0.8898658703346203
INFO: 01/16/2021 08:27:57 epoch 46, shard 0, rewards train 0.8891500234603882, rewards val 0.8929375804375804
INFO: 01/16/2021 08:34:30 epoch 46, shard 1, rewards train 0.882073700428009, rewards val 0.8965271074646074
