INFO: 01/14/2021 07:38:43 epoch 0, shard 0, rewards train 0.6954787373542786, rewards val 0.7824367088607594
INFO: 01/14/2021 07:46:02 epoch 0, shard 1, rewards train 0.7806128263473511, rewards val 0.7966772151898734
INFO: 01/14/2021 07:53:01 epoch 1, shard 0, rewards train 0.8011137247085571, rewards val 0.8502768987341772
INFO: 01/14/2021 08:00:09 epoch 1, shard 1, rewards train 0.8274046778678894, rewards val 0.8707476265822784
INFO: 01/14/2021 08:07:09 epoch 2, shard 0, rewards train 0.8373227119445801, rewards val 0.8510680379746836
INFO: 01/14/2021 08:14:07 epoch 2, shard 1, rewards train 0.8473237752914429, rewards val 0.8850870253164557
INFO: 01/14/2021 08:21:07 epoch 3, shard 0, rewards train 0.8545545339584351, rewards val 0.8926028481012658
INFO: 01/14/2021 08:28:08 epoch 3, shard 1, rewards train 0.860843300819397, rewards val 0.8826147151898734
INFO: 01/14/2021 08:35:08 epoch 4, shard 0, rewards train 0.8667442202568054, rewards val 0.8796479430379747
INFO: 01/14/2021 08:42:07 epoch 4, shard 1, rewards train 0.875, rewards val 0.892998417721519
INFO: 01/14/2021 08:49:07 epoch 5, shard 0, rewards train 0.8737810254096985, rewards val 0.8902294303797469
INFO: 01/14/2021 08:56:08 epoch 5, shard 1, rewards train 0.8746398687362671, rewards val 0.8887460443037974
INFO: 01/14/2021 09:03:08 epoch 6, shard 0, rewards train 0.874445915222168, rewards val 0.8922072784810127
INFO: 01/14/2021 09:10:08 epoch 6, shard 1, rewards train 0.8770501017570496, rewards val 0.888943829113924
INFO: 01/14/2021 09:17:10 epoch 7, shard 0, rewards train 0.8776872754096985, rewards val 0.8987341772151899
INFO: 01/14/2021 09:24:10 epoch 7, shard 1, rewards train 0.8852227330207825, rewards val 0.8947784810126582
INFO: 01/14/2021 09:31:12 epoch 8, shard 0, rewards train 0.8813719153404236, rewards val 0.8796479430379747
INFO: 01/14/2021 09:38:11 epoch 8, shard 1, rewards train 0.8869403600692749, rewards val 0.8964596518987342
INFO: 01/14/2021 09:45:10 epoch 9, shard 0, rewards train 0.8837544322013855, rewards val 0.9021954113924051
INFO: 01/14/2021 09:52:11 epoch 9, shard 1, rewards train 0.8857768177986145, rewards val 0.872626582278481
INFO: 01/14/2021 09:59:22 epoch 10, shard 0, rewards train 0.8839760422706604, rewards val 0.8964596518987342
INFO: 01/14/2021 10:06:23 epoch 10, shard 1, rewards train 0.8810948729515076, rewards val 0.8988330696202531
INFO: 01/14/2021 10:13:25 epoch 11, shard 0, rewards train 0.8869127035140991, rewards val 0.8722310126582279
INFO: 01/14/2021 10:20:25 epoch 11, shard 1, rewards train 0.8876606822013855, rewards val 0.8947784810126582
INFO: 01/14/2021 10:27:24 epoch 12, shard 0, rewards train 0.889572262763977, rewards val 0.9091178797468354
INFO: 01/14/2021 10:34:24 epoch 12, shard 1, rewards train 0.8992963433265686, rewards val 0.9074367088607594
INFO: 01/14/2021 10:41:24 epoch 13, shard 0, rewards train 0.8929521441459656, rewards val 0.8843947784810127
INFO: 01/14/2021 10:48:24 epoch 13, shard 1, rewards train 0.8901263475418091, rewards val 0.8863726265822784
INFO: 01/14/2021 10:55:23 epoch 14, shard 0, rewards train 0.8827847838401794, rewards val 0.8945806962025317
INFO: 01/14/2021 11:02:24 epoch 14, shard 1, rewards train 0.893478512763977, rewards val 0.9194026898734177
INFO: 01/14/2021 11:09:24 epoch 15, shard 0, rewards train 0.8954731822013855, rewards val 0.9037776898734177
INFO: 01/14/2021 11:16:24 epoch 15, shard 1, rewards train 0.8975786566734314, rewards val 0.9028876582278481
INFO: 01/14/2021 11:23:25 epoch 16, shard 0, rewards train 0.8909297585487366, rewards val 0.9138647151898734
INFO: 01/14/2021 11:30:26 epoch 16, shard 1, rewards train 0.8947805762290955, rewards val 0.8976463607594937
INFO: 01/14/2021 11:37:26 epoch 17, shard 0, rewards train 0.888602614402771, rewards val 0.9023931962025317
INFO: 01/14/2021 11:44:27 epoch 17, shard 1, rewards train 0.8967198729515076, rewards val 0.9054588607594937
INFO: 01/14/2021 11:51:28 epoch 18, shard 0, rewards train 0.8983544111251831, rewards val 0.9118868670886076
INFO: 01/14/2021 11:58:43 epoch 18, shard 1, rewards train 0.8949745297431946, rewards val 0.9028876582278481
INFO: 01/15/2021 12:05:44 epoch 19, shard 0, rewards train 0.8929521441459656, rewards val 0.9027887658227848
INFO: 01/15/2021 12:12:45 epoch 19, shard 1, rewards train 0.904781699180603, rewards val 0.9115901898734177
INFO: 01/15/2021 12:19:46 epoch 20, shard 0, rewards train 0.9037289619445801, rewards val 0.910996835443038
INFO: 01/15/2021 12:26:47 epoch 20, shard 1, rewards train 0.9064439535140991, rewards val 0.9172270569620253
INFO: 01/15/2021 12:33:48 epoch 21, shard 0, rewards train 0.8979665040969849, rewards val 0.9072389240506329
INFO: 01/15/2021 12:40:48 epoch 21, shard 1, rewards train 0.905695915222168, rewards val 0.9198971518987342
INFO: 01/15/2021 12:47:50 epoch 22, shard 0, rewards train 0.90946364402771, rewards val 0.9210838607594937
INFO: 01/15/2021 12:54:51 epoch 22, shard 1, rewards train 0.906388521194458, rewards val 0.8973496835443038
INFO: 01/15/2021 01:01:57 epoch 23, shard 0, rewards train 0.908549427986145, rewards val 0.9193037974683544
INFO: 01/15/2021 01:09:00 epoch 23, shard 1, rewards train 0.9059452414512634, rewards val 0.9117879746835443
INFO: 01/15/2021 01:16:01 epoch 24, shard 0, rewards train 0.904504656791687, rewards val 0.9148536392405063
INFO: 01/15/2021 01:23:02 epoch 24, shard 1, rewards train 0.9024545550346375, rewards val 0.9207871835443038
INFO: 01/15/2021 01:30:02 epoch 25, shard 0, rewards train 0.9097684025764465, rewards val 0.9271162974683544
INFO: 01/15/2021 01:37:03 epoch 25, shard 1, rewards train 0.9098514914512634, rewards val 0.921875
INFO: 01/15/2021 01:44:01 epoch 26, shard 0, rewards train 0.9092974066734314, rewards val 0.9022943037974683
INFO: 01/15/2021 01:51:01 epoch 26, shard 1, rewards train 0.9106826186180115, rewards val 0.9173259493670886
INFO: 01/15/2021 01:58:16 epoch 27, shard 0, rewards train 0.9140347838401794, rewards val 0.9248417721518988
INFO: 01/15/2021 02:05:17 epoch 27, shard 1, rewards train 0.9140070676803589, rewards val 0.921182753164557
INFO: 01/15/2021 02:12:18 epoch 28, shard 0, rewards train 0.9092143177986145, rewards val 0.9216772151898734
