INFO: 01/15/2021 09:01:12 epoch 0, shard 0, rewards train 0.6988231539726257, rewards val 0.8022341537966537
INFO: 01/15/2021 09:08:09 epoch 0, shard 1, rewards train 0.7939378023147583, rewards val 0.8330668838481339
INFO: 01/15/2021 09:14:43 epoch 1, shard 0, rewards train 0.8170822262763977, rewards val 0.8423523970398971
INFO: 01/15/2021 09:21:16 epoch 1, shard 1, rewards train 0.8263811469078064, rewards val 0.8473093629343629
INFO: 01/15/2021 09:27:52 epoch 2, shard 0, rewards train 0.8389497399330139, rewards val 0.8737129987129986
INFO: 01/15/2021 09:34:28 epoch 2, shard 1, rewards train 0.8541182279586792, rewards val 0.8844765524453024
INFO: 01/15/2021 09:41:04 epoch 3, shard 0, rewards train 0.8607518672943115, rewards val 0.8834409185971687
INFO: 01/15/2021 09:47:50 epoch 3, shard 1, rewards train 0.8671003580093384, rewards val 0.8673835666023166
INFO: 01/15/2021 09:54:25 epoch 4, shard 0, rewards train 0.873785138130188, rewards val 0.8919773568211067
INFO: 01/15/2021 10:01:03 epoch 4, shard 1, rewards train 0.8752964735031128, rewards val 0.8825912966537967
INFO: 01/15/2021 10:07:39 epoch 5, shard 0, rewards train 0.8764438033103943, rewards val 0.878559362934363
INFO: 01/15/2021 10:14:17 epoch 5, shard 1, rewards train 0.8712729215621948, rewards val 0.8919673021235521
INFO: 01/15/2021 10:20:52 epoch 6, shard 0, rewards train 0.8761899471282959, rewards val 0.8959841537966537
INFO: 01/15/2021 10:27:29 epoch 6, shard 1, rewards train 0.8815803527832031, rewards val 0.8950390122265122
INFO: 01/15/2021 10:34:08 epoch 7, shard 0, rewards train 0.8791990280151367, rewards val 0.8935659990347491
INFO: 01/15/2021 10:40:44 epoch 7, shard 1, rewards train 0.8860784769058228, rewards val 0.8922890524453024
INFO: 01/15/2021 10:47:20 epoch 8, shard 0, rewards train 0.8815353512763977, rewards val 0.8898658703346203
INFO: 01/15/2021 10:53:57 epoch 8, shard 1, rewards train 0.8792425394058228, rewards val 0.8989603442728443
INFO: 01/15/2021 11:00:38 epoch 9, shard 0, rewards train 0.8871470093727112, rewards val 0.8908059845559846
INFO: 01/15/2021 11:07:12 epoch 9, shard 1, rewards train 0.8866702914237976, rewards val 0.8913489382239382
INFO: 01/15/2021 11:13:48 epoch 10, shard 0, rewards train 0.879158616065979, rewards val 0.8820684523809524
INFO: 01/15/2021 11:20:25 epoch 10, shard 1, rewards train 0.8717652559280396, rewards val 0.8946066602316602
INFO: 01/15/2021 11:27:01 epoch 11, shard 0, rewards train 0.8773316144943237, rewards val 0.9017857142857143
INFO: 01/15/2021 11:33:35 epoch 11, shard 1, rewards train 0.895508348941803, rewards val 0.8980956402831403
INFO: 01/15/2021 11:40:10 epoch 12, shard 0, rewards train 0.8807176351547241, rewards val 0.8939832689832689
INFO: 01/15/2021 11:46:55 epoch 12, shard 1, rewards train 0.8841355443000793, rewards val 0.8929224983912484
INFO: 01/15/2021 11:53:28 epoch 13, shard 0, rewards train 0.8848295211791992, rewards val 0.8808769707207207
INFO: 01/16/2021 12:00:03 epoch 13, shard 1, rewards train 0.8926082253456116, rewards val 0.8981961872586873
INFO: 01/16/2021 12:06:38 epoch 14, shard 0, rewards train 0.8909940719604492, rewards val 0.9044401544401545
INFO: 01/16/2021 12:13:13 epoch 14, shard 1, rewards train 0.8913260698318481, rewards val 0.8971605534105533
INFO: 01/16/2021 12:19:48 epoch 15, shard 0, rewards train 0.8906219005584717, rewards val 0.9073912081724581
INFO: 01/16/2021 12:26:24 epoch 15, shard 1, rewards train 0.8992871046066284, rewards val 0.9048725064350065
INFO: 01/16/2021 12:33:00 epoch 16, shard 0, rewards train 0.897663414478302, rewards val 0.8990558638996139
INFO: 01/16/2021 12:39:37 epoch 16, shard 1, rewards train 0.8956369161605835, rewards val 0.9019063706563707
