INFO: 01/17/2021 04:12:57 epoch 0, shard 0, rewards train 0.551335334777832, rewards val 0.689873417721519
INFO: 01/17/2021 04:15:55 epoch 0, shard 1, rewards train 0.7548204660415649, rewards val 0.8292128164556962
INFO: 01/17/2021 04:18:37 epoch 1, shard 0, rewards train 0.8137466907501221, rewards val 0.8496835443037974
INFO: 01/17/2021 04:21:19 epoch 1, shard 1, rewards train 0.8388187289237976, rewards val 0.8684731012658228
INFO: 01/17/2021 04:24:02 epoch 2, shard 0, rewards train 0.8547484278678894, rewards val 0.8795490506329114
INFO: 01/17/2021 04:26:44 epoch 2, shard 1, rewards train 0.8653867244720459, rewards val 0.8870648734177216
INFO: 01/17/2021 04:29:26 epoch 3, shard 0, rewards train 0.8693206906318665, rewards val 0.8775712025316456
INFO: 01/17/2021 04:32:09 epoch 3, shard 1, rewards train 0.8725066781044006, rewards val 0.8830102848101266
INFO: 01/17/2021 04:34:51 epoch 4, shard 0, rewards train 0.8797096610069275, rewards val 0.8857792721518988
INFO: 01/17/2021 04:37:34 epoch 4, shard 1, rewards train 0.8862200975418091, rewards val 0.9030854430379747
INFO: 01/17/2021 04:40:17 epoch 5, shard 0, rewards train 0.883865237236023, rewards val 0.9039754746835443
INFO: 01/17/2021 04:43:00 epoch 5, shard 1, rewards train 0.8943650126457214, rewards val 0.908623417721519
INFO: 01/17/2021 04:45:42 epoch 6, shard 0, rewards train 0.8940879702568054, rewards val 0.9049643987341772
INFO: 01/17/2021 04:48:25 epoch 6, shard 1, rewards train 0.8999335169792175, rewards val 0.910996835443038
INFO: 01/17/2021 04:51:07 epoch 7, shard 0, rewards train 0.9032025933265686, rewards val 0.9131724683544303
INFO: 01/17/2021 04:53:49 epoch 7, shard 1, rewards train 0.9084386229515076, rewards val 0.921182753164557
INFO: 01/17/2021 04:56:31 epoch 8, shard 0, rewards train 0.909186601638794, rewards val 0.9154469936708861
INFO: 01/17/2021 04:59:13 epoch 8, shard 1, rewards train 0.9099622964859009, rewards val 0.9224683544303798
INFO: 01/17/2021 05:01:55 epoch 9, shard 0, rewards train 0.9126219153404236, rewards val 0.9263251582278481
INFO: 01/17/2021 05:04:37 epoch 9, shard 1, rewards train 0.9155585169792175, rewards val 0.9287974683544303
INFO: 01/17/2021 05:07:20 epoch 10, shard 0, rewards train 0.9161956906318665, rewards val 0.9190071202531646
INFO: 01/17/2021 05:10:02 epoch 10, shard 1, rewards train 0.9163064956665039, rewards val 0.9269185126582279
INFO: 01/17/2021 05:12:44 epoch 11, shard 0, rewards train 0.9141179323196411, rewards val 0.9134691455696202
INFO: 01/17/2021 05:15:26 epoch 11, shard 1, rewards train 0.915669322013855, rewards val 0.9214794303797469
INFO: 01/17/2021 05:18:08 epoch 12, shard 0, rewards train 0.9198248982429504, rewards val 0.9355221518987342
INFO: 01/17/2021 05:20:50 epoch 12, shard 1, rewards train 0.9216533899307251, rewards val 0.9322587025316456
INFO: 01/17/2021 05:23:32 epoch 13, shard 0, rewards train 0.92118239402771, rewards val 0.9198971518987342
INFO: 01/17/2021 05:26:13 epoch 13, shard 1, rewards train 0.9179964661598206, rewards val 0.9269185126582279
INFO: 01/17/2021 05:28:56 epoch 14, shard 0, rewards train 0.908687949180603, rewards val 0.9161392405063291
INFO: 01/17/2021 05:31:38 epoch 14, shard 1, rewards train 0.9132590889930725, rewards val 0.9139636075949367
INFO: 01/17/2021 05:34:20 epoch 15, shard 0, rewards train 0.9097129702568054, rewards val 0.9222705696202531
INFO: 01/17/2021 05:37:03 epoch 15, shard 1, rewards train 0.9171653389930725, rewards val 0.9265229430379747
INFO: 01/17/2021 05:39:45 epoch 16, shard 0, rewards train 0.9226784110069275, rewards val 0.9189082278481012
INFO: 01/17/2021 05:42:28 epoch 16, shard 1, rewards train 0.919160008430481, rewards val 0.921875
INFO: 01/17/2021 05:45:10 epoch 17, shard 0, rewards train 0.9190769195556641, rewards val 0.9275118670886076
