INFO: 01/17/2021 11:13:29 epoch 0, shard 0, rewards train 0.6989971399307251, rewards val 0.7750197784810127
INFO: 01/17/2021 11:20:45 epoch 0, shard 1, rewards train 0.7687278389930725, rewards val 0.7757120253164557
INFO: 01/17/2021 11:27:46 epoch 1, shard 0, rewards train 0.7725786566734314, rewards val 0.7950949367088608
INFO: 01/17/2021 11:34:48 epoch 1, shard 1, rewards train 0.7801418304443359, rewards val 0.7927215189873418
INFO: 01/17/2021 11:41:46 epoch 2, shard 0, rewards train 0.795822262763977, rewards val 0.8204113924050633
INFO: 01/17/2021 11:48:47 epoch 2, shard 1, rewards train 0.8118628263473511, rewards val 0.8234770569620253
INFO: 01/17/2021 11:55:46 epoch 3, shard 0, rewards train 0.8227781653404236, rewards val 0.8363330696202531
INFO: 01/17/2021 12:02:55 epoch 3, shard 1, rewards train 0.8272661566734314, rewards val 0.8398931962025317
INFO: 01/17/2021 12:09:54 epoch 4, shard 0, rewards train 0.8201185464859009, rewards val 0.8399920886075949
INFO: 01/17/2021 12:16:52 epoch 4, shard 1, rewards train 0.828263521194458, rewards val 0.8392998417721519
INFO: 01/17/2021 12:23:51 epoch 5, shard 0, rewards train 0.828679084777832, rewards val 0.8308939873417721
INFO: 01/17/2021 12:30:51 epoch 5, shard 1, rewards train 0.8339982032775879, rewards val 0.848496835443038
INFO: 01/17/2021 12:37:52 epoch 6, shard 0, rewards train 0.839428186416626, rewards val 0.846123417721519
INFO: 01/17/2021 12:44:53 epoch 6, shard 1, rewards train 0.8364084959030151, rewards val 0.8480023734177216
INFO: 01/17/2021 12:51:51 epoch 7, shard 0, rewards train 0.8375997543334961, rewards val 0.8562104430379747
INFO: 01/17/2021 12:58:50 epoch 7, shard 1, rewards train 0.8431128263473511, rewards val 0.8725276898734177
INFO: 01/17/2021 01:05:46 epoch 8, shard 0, rewards train 0.8477393388748169, rewards val 0.8706487341772152
INFO: 01/17/2021 01:12:44 epoch 8, shard 1, rewards train 0.8552747964859009, rewards val 0.8651107594936709
INFO: 01/17/2021 01:19:42 epoch 9, shard 0, rewards train 0.8592641949653625, rewards val 0.8558148734177216
INFO: 01/17/2021 01:26:41 epoch 9, shard 1, rewards train 0.8622007966041565, rewards val 0.8660996835443038
INFO: 01/17/2021 01:33:42 epoch 10, shard 0, rewards train 0.8645556569099426, rewards val 0.8824169303797469
INFO: 01/17/2021 01:40:40 epoch 10, shard 1, rewards train 0.8657469153404236, rewards val 0.8748022151898734
INFO: 01/17/2021 01:47:40 epoch 11, shard 0, rewards train 0.870262622833252, rewards val 0.8815268987341772
INFO: 01/17/2021 01:54:42 epoch 11, shard 1, rewards train 0.8744181990623474, rewards val 0.8877571202531646
INFO: 01/17/2021 02:01:44 epoch 12, shard 0, rewards train 0.868517279624939, rewards val 0.8898338607594937
INFO: 01/17/2021 02:08:47 epoch 12, shard 1, rewards train 0.8758588433265686, rewards val 0.8897349683544303
INFO: 01/17/2021 02:15:45 epoch 13, shard 0, rewards train 0.8757756948471069, rewards val 0.8931962025316456
INFO: 01/17/2021 02:22:46 epoch 13, shard 1, rewards train 0.8701795339584351, rewards val 0.8837025316455697
INFO: 01/17/2021 02:29:44 epoch 14, shard 0, rewards train 0.8788508176803589, rewards val 0.8898338607594937
INFO: 01/17/2021 02:36:44 epoch 14, shard 1, rewards train 0.8833388686180115, rewards val 0.8912183544303798
INFO: 01/17/2021 02:43:43 epoch 15, shard 0, rewards train 0.8781305551528931, rewards val 0.8863726265822784
INFO: 01/17/2021 02:50:43 epoch 15, shard 1, rewards train 0.8810948729515076, rewards val 0.9022943037974683
INFO: 01/17/2021 02:57:43 epoch 16, shard 0, rewards train 0.886580228805542, rewards val 0.8915150316455697
INFO: 01/17/2021 03:04:43 epoch 16, shard 1, rewards train 0.8760804533958435, rewards val 0.8970530063291139
INFO: 01/17/2021 03:11:41 epoch 17, shard 0, rewards train 0.8834219574928284, rewards val 0.9033821202531646
INFO: 01/17/2021 03:18:42 epoch 17, shard 1, rewards train 0.883643627166748, rewards val 0.8971518987341772
INFO: 01/17/2021 03:25:41 epoch 18, shard 0, rewards train 0.8843638896942139, rewards val 0.8965585443037974
INFO: 01/17/2021 03:32:39 epoch 18, shard 1, rewards train 0.8842254281044006, rewards val 0.8938884493670886
INFO: 01/17/2021 03:39:40 epoch 19, shard 0, rewards train 0.8898770213127136, rewards val 0.9026898734177216
INFO: 01/17/2021 03:46:41 epoch 19, shard 1, rewards train 0.886857271194458, rewards val 0.9084256329113924
INFO: 01/17/2021 03:53:40 epoch 20, shard 0, rewards train 0.8875221610069275, rewards val 0.9051621835443038
INFO: 01/17/2021 04:00:38 epoch 20, shard 1, rewards train 0.885887622833252, rewards val 0.8814280063291139
INFO: 01/17/2021 04:07:44 epoch 21, shard 0, rewards train 0.8907912373542786, rewards val 0.9017998417721519
INFO: 01/17/2021 04:14:43 epoch 21, shard 1, rewards train 0.8876606822013855, rewards val 0.8963607594936709
INFO: 01/17/2021 04:21:43 epoch 22, shard 0, rewards train 0.8851396441459656, rewards val 0.9032832278481012
INFO: 01/17/2021 04:28:41 epoch 22, shard 1, rewards train 0.8908189535140991, rewards val 0.9121835443037974
INFO: 01/17/2021 04:35:39 epoch 23, shard 0, rewards train 0.893062949180603, rewards val 0.9006131329113924
INFO: 01/17/2021 04:42:38 epoch 23, shard 1, rewards train 0.8912068009376526, rewards val 0.9020965189873418
INFO: 01/17/2021 04:49:40 epoch 24, shard 0, rewards train 0.8911236524581909, rewards val 0.8770767405063291
INFO: 01/17/2021 04:56:39 epoch 24, shard 1, rewards train 0.8909574747085571, rewards val 0.8980419303797469
INFO: 01/17/2021 05:03:42 epoch 25, shard 0, rewards train 0.8902925252914429, rewards val 0.9040743670886076
INFO: 01/17/2021 05:10:40 epoch 25, shard 1, rewards train 0.8998780846595764, rewards val 0.9009098101265823
INFO: 01/17/2021 05:17:38 epoch 26, shard 0, rewards train 0.8983820676803589, rewards val 0.910996835443038
INFO: 01/17/2021 05:24:38 epoch 26, shard 1, rewards train 0.8920655846595764, rewards val 0.8964596518987342
INFO: 01/17/2021 05:31:37 epoch 27, shard 0, rewards train 0.8930906653404236, rewards val 0.9058544303797469
INFO: 01/17/2021 05:38:34 epoch 27, shard 1, rewards train 0.89522385597229, rewards val 0.9043710443037974
INFO: 01/17/2021 05:45:32 epoch 28, shard 0, rewards train 0.8932291865348816, rewards val 0.9154469936708861
INFO: 01/17/2021 05:52:31 epoch 28, shard 1, rewards train 0.8953346610069275, rewards val 0.8921083860759493
INFO: 01/17/2021 05:59:29 epoch 29, shard 0, rewards train 0.8925919532775879, rewards val 0.9037776898734177
INFO: 01/17/2021 06:06:35 epoch 29, shard 1, rewards train 0.895722508430481, rewards val 0.9023931962025317
INFO: 01/17/2021 06:13:35 epoch 30, shard 0, rewards train 0.898298978805542, rewards val 0.8853837025316456
INFO: 01/17/2021 06:20:36 epoch 30, shard 1, rewards train 0.8959718346595764, rewards val 0.9096123417721519
INFO: 01/17/2021 06:27:39 epoch 31, shard 0, rewards train 0.8982712626457214, rewards val 0.9042721518987342
INFO: 01/17/2021 06:34:36 epoch 31, shard 1, rewards train 0.8984375, rewards val 0.9184137658227848
INFO: 01/17/2021 06:41:36 epoch 32, shard 0, rewards train 0.9002382755279541, rewards val 0.9026898734177216
INFO: 01/17/2021 06:48:35 epoch 32, shard 1, rewards train 0.9040336608886719, rewards val 0.9145569620253164
INFO: 01/17/2021 06:55:35 epoch 33, shard 0, rewards train 0.9041998982429504, rewards val 0.9145569620253164
INFO: 01/17/2021 07:02:33 epoch 33, shard 1, rewards train 0.905058741569519, rewards val 0.9174248417721519
INFO: 01/17/2021 07:09:35 epoch 34, shard 0, rewards train 0.9065547585487366, rewards val 0.9190071202531646
INFO: 01/17/2021 07:16:37 epoch 34, shard 1, rewards train 0.9005153179168701, rewards val 0.9064477848101266
INFO: 01/17/2021 07:23:38 epoch 35, shard 0, rewards train 0.9038674831390381, rewards val 0.9189082278481012
INFO: 01/17/2021 07:30:38 epoch 35, shard 1, rewards train 0.9056681990623474, rewards val 0.9139636075949367
INFO: 01/17/2021 07:37:39 epoch 36, shard 0, rewards train 0.90625, rewards val 0.9125791139240507
INFO: 01/17/2021 07:44:39 epoch 36, shard 1, rewards train 0.9001274108886719, rewards val 0.9200949367088608
INFO: 01/17/2021 07:51:39 epoch 37, shard 0, rewards train 0.8995733857154846, rewards val 0.9163370253164557
INFO: 01/17/2021 07:58:39 epoch 37, shard 1, rewards train 0.901291012763977, rewards val 0.912381329113924
INFO: 01/17/2021 08:05:53 epoch 38, shard 0, rewards train 0.9043107032775879, rewards val 0.9267207278481012
INFO: 01/17/2021 08:12:53 epoch 38, shard 1, rewards train 0.9011247754096985, rewards val 0.9177215189873418
