INFO: 01/23/2021 10:49:51 epoch 0, shard 0, rewards train 0.601285457611084, rewards val 0.7317049050632911
INFO: 01/23/2021 10:54:06 epoch 0, shard 1, rewards train 0.77413010597229, rewards val 0.8147745253164557
INFO: 01/23/2021 10:58:05 epoch 1, shard 0, rewards train 0.8080119490623474, rewards val 0.8378164556962026
INFO: 01/23/2021 11:02:04 epoch 1, shard 1, rewards train 0.8268783092498779, rewards val 0.8473101265822784
INFO: 01/23/2021 11:06:02 epoch 2, shard 0, rewards train 0.8414782881736755, rewards val 0.8542325949367089
INFO: 01/23/2021 11:10:03 epoch 2, shard 1, rewards train 0.8505374789237976, rewards val 0.8800435126582279
INFO: 01/23/2021 11:14:05 epoch 3, shard 0, rewards train 0.8606494069099426, rewards val 0.8691653481012658
INFO: 01/23/2021 11:18:05 epoch 3, shard 1, rewards train 0.8637799024581909, rewards val 0.8846914556962026
INFO: 01/23/2021 11:22:03 epoch 4, shard 0, rewards train 0.868932843208313, rewards val 0.883504746835443
INFO: 01/23/2021 11:26:02 epoch 4, shard 1, rewards train 0.880236029624939, rewards val 0.9102056962025317
INFO: 01/23/2021 11:30:01 epoch 5, shard 0, rewards train 0.8905141949653625, rewards val 0.8993275316455697
INFO: 01/23/2021 11:34:06 epoch 5, shard 1, rewards train 0.895362377166748, rewards val 0.9126780063291139
INFO: 01/23/2021 11:38:07 epoch 6, shard 0, rewards train 0.9025377035140991, rewards val 0.9153481012658228
INFO: 01/23/2021 11:42:05 epoch 6, shard 1, rewards train 0.9042830467224121, rewards val 0.9030854430379747
INFO: 01/23/2021 11:46:06 epoch 7, shard 0, rewards train 0.902205228805542, rewards val 0.9200949367088608
INFO: 01/23/2021 11:50:06 epoch 7, shard 1, rewards train 0.9102670550346375, rewards val 0.9172270569620253
INFO: 01/23/2021 11:54:05 epoch 8, shard 0, rewards train 0.9079122543334961, rewards val 0.919501582278481
INFO: 01/23/2021 11:58:05 epoch 8, shard 1, rewards train 0.909879207611084, rewards val 0.9125791139240507
INFO: 01/23/2021 12:02:03 epoch 9, shard 0, rewards train 0.9106826186180115, rewards val 0.9215783227848101
INFO: 01/23/2021 12:06:04 epoch 9, shard 1, rewards train 0.9139794111251831, rewards val 0.9189082278481012
INFO: 01/23/2021 12:10:02 epoch 10, shard 0, rewards train 0.9155585169792175, rewards val 0.9179193037974683
INFO: 01/23/2021 12:13:59 epoch 10, shard 1, rewards train 0.9111536145210266, rewards val 0.9270174050632911
INFO: 01/23/2021 12:17:57 epoch 11, shard 0, rewards train 0.9230108857154846, rewards val 0.9341376582278481
INFO: 01/23/2021 12:21:55 epoch 11, shard 1, rewards train 0.9243683218955994, rewards val 0.9371044303797469
INFO: 01/23/2021 12:25:58 epoch 12, shard 0, rewards train 0.9215425252914429, rewards val 0.9386867088607594
INFO: 01/23/2021 12:29:56 epoch 12, shard 1, rewards train 0.9238696694374084, rewards val 0.9245450949367089
INFO: 01/23/2021 12:33:56 epoch 13, shard 0, rewards train 0.9199080467224121, rewards val 0.928995253164557
INFO: 01/23/2021 12:37:54 epoch 13, shard 1, rewards train 0.9149213433265686, rewards val 0.9311708860759493
INFO: 01/23/2021 12:41:53 epoch 14, shard 0, rewards train 0.9176086187362671, rewards val 0.9363132911392406
INFO: 01/23/2021 12:45:52 epoch 14, shard 1, rewards train 0.922844648361206, rewards val 0.9412579113924051
INFO: 01/23/2021 12:49:52 epoch 15, shard 0, rewards train 0.9278867244720459, rewards val 0.9283030063291139
INFO: 01/23/2021 12:53:51 epoch 15, shard 1, rewards train 0.9282469153404236, rewards val 0.9362143987341772
INFO: 01/23/2021 12:57:50 epoch 16, shard 0, rewards train 0.9183565974235535, rewards val 0.9262262658227848
INFO: 01/23/2021 01:01:50 epoch 16, shard 1, rewards train 0.9237865805625916, rewards val 0.9415545886075949
INFO: 01/23/2021 01:05:50 epoch 17, shard 0, rewards train 0.927388072013855, rewards val 0.9295886075949367
INFO: 01/23/2021 01:09:50 epoch 17, shard 1, rewards train 0.9266954660415649, rewards val 0.9336431962025317
INFO: 01/23/2021 01:13:49 epoch 18, shard 0, rewards train 0.9249778389930725, rewards val 0.942246835443038
INFO: 01/23/2021 01:17:50 epoch 18, shard 1, rewards train 0.9260305762290955, rewards val 0.9348299050632911
INFO: 01/23/2021 01:21:49 epoch 19, shard 0, rewards train 0.9301584959030151, rewards val 0.9352254746835443
INFO: 01/23/2021 01:25:47 epoch 19, shard 1, rewards train 0.9235095381736755, rewards val 0.9349287974683544
INFO: 01/23/2021 01:29:46 epoch 20, shard 0, rewards train 0.9283854365348816, rewards val 0.9444224683544303
INFO: 01/23/2021 01:33:50 epoch 20, shard 1, rewards train 0.93359375, rewards val 0.9370055379746836
INFO: 01/23/2021 01:37:48 epoch 21, shard 0, rewards train 0.9250609278678894, rewards val 0.924940664556962
INFO: 01/23/2021 01:41:47 epoch 21, shard 1, rewards train 0.9315990805625916, rewards val 0.9513449367088608
INFO: 01/23/2021 01:45:46 epoch 22, shard 0, rewards train 0.9350066781044006, rewards val 0.9480814873417721
INFO: 01/23/2021 01:49:45 epoch 22, shard 1, rewards train 0.9347296357154846, rewards val 0.9356210443037974
