INFO: 01/22/2021 08:23:41 epoch 0, shard 0, rewards train 0.64131760597229, rewards val 0.7724485759493671
INFO: 01/22/2021 08:28:13 epoch 0, shard 1, rewards train 0.7694758176803589, rewards val 0.798556170886076
INFO: 01/22/2021 08:32:16 epoch 1, shard 0, rewards train 0.7809452414512634, rewards val 0.8238726265822784
INFO: 01/22/2021 08:36:19 epoch 1, shard 1, rewards train 0.8049368262290955, rewards val 0.8542325949367089
INFO: 01/22/2021 08:40:21 epoch 2, shard 0, rewards train 0.8288729786872864, rewards val 0.8558148734177216
INFO: 01/22/2021 08:44:24 epoch 2, shard 1, rewards train 0.8389018177986145, rewards val 0.8629351265822784
INFO: 01/22/2021 08:48:25 epoch 3, shard 0, rewards train 0.8490691781044006, rewards val 0.8827136075949367
INFO: 01/22/2021 08:52:28 epoch 3, shard 1, rewards train 0.8590148687362671, rewards val 0.8853837025316456
INFO: 01/22/2021 08:56:29 epoch 4, shard 0, rewards train 0.8653867244720459, rewards val 0.8813291139240507
INFO: 01/22/2021 09:00:39 epoch 4, shard 1, rewards train 0.8718417286872864, rewards val 0.8920094936708861
INFO: 01/22/2021 09:04:41 epoch 5, shard 0, rewards train 0.873393177986145, rewards val 0.8742088607594937
INFO: 01/22/2021 09:08:42 epoch 5, shard 1, rewards train 0.8721742033958435, rewards val 0.8510680379746836
INFO: 01/22/2021 09:12:43 epoch 6, shard 0, rewards train 0.8723681569099426, rewards val 0.8904272151898734
INFO: 01/22/2021 09:16:46 epoch 6, shard 1, rewards train 0.8843362331390381, rewards val 0.8905261075949367
INFO: 01/22/2021 09:20:48 epoch 7, shard 0, rewards train 0.8860538601875305, rewards val 0.9028876582278481
INFO: 01/22/2021 09:24:49 epoch 7, shard 1, rewards train 0.8898493051528931, rewards val 0.8903283227848101
INFO: 01/22/2021 09:28:50 epoch 8, shard 0, rewards train 0.8947252035140991, rewards val 0.9074367088607594
INFO: 01/22/2021 09:32:53 epoch 8, shard 1, rewards train 0.896415114402771, rewards val 0.9060522151898734
