INFO: 01/16/2021 01:38:36 epoch 0, shard 0, rewards train 0.5344359278678894, rewards val 0.6567444620253164
INFO: 01/16/2021 01:42:26 epoch 0, shard 1, rewards train 0.6796597838401794, rewards val 0.7196400316455697
INFO: 01/16/2021 01:46:09 epoch 1, shard 0, rewards train 0.7228778600692749, rewards val 0.7495055379746836
INFO: 01/16/2021 01:49:45 epoch 1, shard 1, rewards train 0.7430739998817444, rewards val 0.7826344936708861
INFO: 01/16/2021 01:53:24 epoch 2, shard 0, rewards train 0.7536846399307251, rewards val 0.7930181962025317
INFO: 01/16/2021 01:57:04 epoch 2, shard 1, rewards train 0.7683953642845154, rewards val 0.8035007911392406
INFO: 01/16/2021 02:00:45 epoch 3, shard 0, rewards train 0.7782025933265686, rewards val 0.8117088607594937
INFO: 01/16/2021 02:04:18 epoch 3, shard 1, rewards train 0.7872617244720459, rewards val 0.828817246835443
INFO: 01/16/2021 02:07:53 epoch 4, shard 0, rewards train 0.7955175042152405, rewards val 0.8359375
INFO: 01/16/2021 02:11:33 epoch 4, shard 1, rewards train 0.8126108050346375, rewards val 0.8500791139240507
INFO: 01/16/2021 02:15:15 epoch 5, shard 0, rewards train 0.8181793093681335, rewards val 0.8473101265822784
INFO: 01/16/2021 02:18:58 epoch 5, shard 1, rewards train 0.8266012668609619, rewards val 0.8567049050632911
INFO: 01/16/2021 02:22:36 epoch 6, shard 0, rewards train 0.8352726101875305, rewards val 0.8401898734177216
INFO: 01/16/2021 02:26:15 epoch 6, shard 1, rewards train 0.8503435254096985, rewards val 0.8840981012658228
INFO: 01/16/2021 02:29:52 epoch 7, shard 0, rewards train 0.8562721610069275, rewards val 0.8750988924050633
INFO: 01/16/2021 02:33:27 epoch 7, shard 1, rewards train 0.8577127456665039, rewards val 0.8755933544303798
INFO: 01/16/2021 02:37:04 epoch 8, shard 0, rewards train 0.8583499789237976, rewards val 0.8782634493670886
INFO: 01/16/2021 02:40:40 epoch 8, shard 1, rewards train 0.8627548813819885, rewards val 0.8794501582278481
INFO: 01/16/2021 02:44:15 epoch 9, shard 0, rewards train 0.8645002245903015, rewards val 0.8927017405063291
INFO: 01/16/2021 02:47:55 epoch 9, shard 1, rewards train 0.8730607032775879, rewards val 0.8970530063291139
INFO: 01/16/2021 02:51:37 epoch 10, shard 0, rewards train 0.8650543093681335, rewards val 0.8898338607594937
INFO: 01/16/2021 02:55:19 epoch 10, shard 1, rewards train 0.8677138686180115, rewards val 0.8559137658227848
INFO: 01/16/2021 02:58:59 epoch 11, shard 0, rewards train 0.8702903389930725, rewards val 0.9106012658227848
INFO: 01/16/2021 03:02:40 epoch 11, shard 1, rewards train 0.8853612542152405, rewards val 0.9082278481012658
INFO: 01/16/2021 03:06:23 epoch 12, shard 0, rewards train 0.8882424831390381, rewards val 0.9120846518987342
INFO: 01/16/2021 03:10:05 epoch 12, shard 1, rewards train 0.8940048813819885, rewards val 0.917128164556962
INFO: 01/16/2021 03:13:43 epoch 13, shard 0, rewards train 0.8971908092498779, rewards val 0.9149525316455697
INFO: 01/16/2021 03:17:23 epoch 13, shard 1, rewards train 0.896969199180603, rewards val 0.9189082278481012
INFO: 01/16/2021 03:20:59 epoch 14, shard 0, rewards train 0.8982435464859009, rewards val 0.9168314873417721
INFO: 01/16/2021 03:24:36 epoch 14, shard 1, rewards train 0.8902648687362671, rewards val 0.9207871835443038
INFO: 01/16/2021 03:28:11 epoch 15, shard 0, rewards train 0.9020112752914429, rewards val 0.9268196202531646
INFO: 01/16/2021 03:31:51 epoch 15, shard 1, rewards train 0.906665563583374, rewards val 0.932753164556962
INFO: 01/16/2021 03:35:29 epoch 16, shard 0, rewards train 0.9081892967224121, rewards val 0.9206882911392406
INFO: 01/16/2021 03:39:05 epoch 16, shard 1, rewards train 0.9098514914512634, rewards val 0.9270174050632911
INFO: 01/16/2021 03:42:42 epoch 17, shard 0, rewards train 0.9051695466041565, rewards val 0.9130735759493671
INFO: 01/16/2021 03:46:19 epoch 17, shard 1, rewards train 0.9071364998817444, rewards val 0.9399723101265823
INFO: 01/16/2021 03:50:00 epoch 18, shard 0, rewards train 0.9145888686180115, rewards val 0.9334454113924051
INFO: 01/16/2021 03:53:45 epoch 18, shard 1, rewards train 0.9127880930900574, rewards val 0.9297863924050633
INFO: 01/16/2021 03:57:28 epoch 19, shard 0, rewards train 0.9051141142845154, rewards val 0.9155458860759493
INFO: 01/16/2021 04:01:11 epoch 19, shard 1, rewards train 0.9110704660415649, rewards val 0.934434335443038
INFO: 01/16/2021 04:04:48 epoch 20, shard 0, rewards train 0.919298529624939, rewards val 0.9338409810126582
INFO: 01/16/2021 04:08:30 epoch 20, shard 1, rewards train 0.9233710169792175, rewards val 0.942939082278481
INFO: 01/16/2021 04:12:11 epoch 21, shard 0, rewards train 0.9255596399307251, rewards val 0.9473892405063291
INFO: 01/16/2021 04:15:52 epoch 21, shard 1, rewards train 0.9296875, rewards val 0.9367088607594937
INFO: 01/16/2021 04:19:29 epoch 22, shard 0, rewards train 0.9271387457847595, rewards val 0.9343354430379747
INFO: 01/16/2021 04:23:09 epoch 22, shard 1, rewards train 0.9203789830207825, rewards val 0.9377966772151899
INFO: 01/16/2021 04:26:54 epoch 23, shard 0, rewards train 0.9237865805625916, rewards val 0.9400712025316456
INFO: 01/16/2021 04:30:35 epoch 23, shard 1, rewards train 0.9252548813819885, rewards val 0.9312697784810127
INFO: 01/16/2021 04:34:21 epoch 24, shard 0, rewards train 0.9253379702568054, rewards val 0.9397745253164557
INFO: 01/16/2021 04:38:02 epoch 24, shard 1, rewards train 0.9330119490623474, rewards val 0.9416534810126582
INFO: 01/16/2021 04:41:39 epoch 25, shard 0, rewards train 0.9283300042152405, rewards val 0.9362143987341772
INFO: 01/16/2021 04:45:17 epoch 25, shard 1, rewards train 0.9249778389930725, rewards val 0.9487737341772152
INFO: 01/16/2021 04:48:51 epoch 26, shard 0, rewards train 0.9194647669792175, rewards val 0.9272151898734177
INFO: 01/16/2021 04:52:29 epoch 26, shard 1, rewards train 0.93038010597229, rewards val 0.9458069620253164
INFO: 01/16/2021 04:56:08 epoch 27, shard 0, rewards train 0.924451470375061, rewards val 0.9348299050632911
INFO: 01/16/2021 04:59:52 epoch 27, shard 1, rewards train 0.921736478805542, rewards val 0.9324564873417721
INFO: 01/16/2021 05:03:31 epoch 28, shard 0, rewards train 0.9204620718955994, rewards val 0.928006329113924
INFO: 01/16/2021 05:07:18 epoch 28, shard 1, rewards train 0.9243683218955994, rewards val 0.9319620253164557
INFO: 01/16/2021 05:11:00 epoch 29, shard 0, rewards train 0.9255319237709045, rewards val 0.939181170886076
INFO: 01/16/2021 05:14:42 epoch 29, shard 1, rewards train 0.9238696694374084, rewards val 0.9373022151898734
INFO: 01/16/2021 05:18:22 epoch 30, shard 0, rewards train 0.9201573729515076, rewards val 0.9364121835443038
INFO: 01/16/2021 05:21:59 epoch 30, shard 1, rewards train 0.934563398361206, rewards val 0.9433346518987342
INFO: 01/16/2021 05:25:32 epoch 31, shard 0, rewards train 0.925365686416626, rewards val 0.935126582278481
INFO: 01/16/2021 05:29:08 epoch 31, shard 1, rewards train 0.932541012763977, rewards val 0.9322587025316456
INFO: 01/16/2021 05:32:47 epoch 32, shard 0, rewards train 0.9254211187362671, rewards val 0.9384889240506329
INFO: 01/16/2021 05:36:23 epoch 32, shard 1, rewards train 0.9260305762290955, rewards val 0.9285996835443038
INFO: 01/16/2021 05:40:05 epoch 33, shard 0, rewards train 0.9271387457847595, rewards val 0.9318631329113924
INFO: 01/16/2021 05:43:46 epoch 33, shard 1, rewards train 0.927803635597229, rewards val 0.9371044303797469
INFO: 01/16/2021 05:47:24 epoch 34, shard 0, rewards train 0.9271941781044006, rewards val 0.9357199367088608
INFO: 01/16/2021 05:51:02 epoch 34, shard 1, rewards train 0.9298814535140991, rewards val 0.9440268987341772
INFO: 01/16/2021 05:54:45 epoch 35, shard 0, rewards train 0.9358100891113281, rewards val 0.9494659810126582
INFO: 01/16/2021 05:58:24 epoch 35, shard 1, rewards train 0.9262522459030151, rewards val 0.9277096518987342
INFO: 01/16/2021 06:01:59 epoch 36, shard 0, rewards train 0.9323747754096985, rewards val 0.9464992088607594
INFO: 01/16/2021 06:05:34 epoch 36, shard 1, rewards train 0.9317653179168701, rewards val 0.9395767405063291
INFO: 01/16/2021 06:09:10 epoch 37, shard 0, rewards train 0.9338153600692749, rewards val 0.9394778481012658
INFO: 01/16/2021 06:12:44 epoch 37, shard 1, rewards train 0.930878758430481, rewards val 0.9454113924050633
INFO: 01/16/2021 06:16:26 epoch 38, shard 0, rewards train 0.934785008430481, rewards val 0.9495648734177216
INFO: 01/16/2021 06:20:06 epoch 38, shard 1, rewards train 0.930657148361206, rewards val 0.9365110759493671
INFO: 01/16/2021 06:23:45 epoch 39, shard 0, rewards train 0.9262522459030151, rewards val 0.9403678797468354
INFO: 01/16/2021 06:27:25 epoch 39, shard 1, rewards train 0.9276373982429504, rewards val 0.9439280063291139
INFO: 01/16/2021 06:31:07 epoch 40, shard 0, rewards train 0.9341755509376526, rewards val 0.9409612341772152
INFO: 01/16/2021 06:34:49 epoch 40, shard 1, rewards train 0.9327903389930725, rewards val 0.9443235759493671
INFO: 01/16/2021 06:38:28 epoch 41, shard 0, rewards train 0.9317376017570496, rewards val 0.9412579113924051
INFO: 01/16/2021 06:42:05 epoch 41, shard 1, rewards train 0.9398548603057861, rewards val 0.9406645569620253
INFO: 01/16/2021 06:45:38 epoch 42, shard 0, rewards train 0.9349512457847595, rewards val 0.946993670886076
INFO: 01/16/2021 06:49:16 epoch 42, shard 1, rewards train 0.9350066781044006, rewards val 0.9478837025316456
INFO: 01/16/2021 06:52:54 epoch 43, shard 0, rewards train 0.9317929744720459, rewards val 0.9310719936708861
INFO: 01/16/2021 06:56:28 epoch 43, shard 1, rewards train 0.9313220381736755, rewards val 0.9503560126582279
INFO: 01/16/2021 07:00:10 epoch 44, shard 0, rewards train 0.9343417286872864, rewards val 0.9428401898734177
INFO: 01/16/2021 07:03:49 epoch 44, shard 1, rewards train 0.9367243051528931, rewards val 0.953125
INFO: 01/16/2021 07:07:27 epoch 45, shard 0, rewards train 0.941267728805542, rewards val 0.9518393987341772
INFO: 01/16/2021 07:11:05 epoch 45, shard 1, rewards train 0.9387744069099426, rewards val 0.9375988924050633
INFO: 01/16/2021 07:14:35 epoch 46, shard 0, rewards train 0.9314051270484924, rewards val 0.9411590189873418
INFO: 01/16/2021 07:18:09 epoch 46, shard 1, rewards train 0.9300199747085571, rewards val 0.9442246835443038
INFO: 01/16/2021 07:21:45 epoch 47, shard 0, rewards train 0.9355884194374084, rewards val 0.9458069620253164
INFO: 01/16/2021 07:25:19 epoch 47, shard 1, rewards train 0.9309619069099426, rewards val 0.9425435126582279
INFO: 01/16/2021 07:28:56 epoch 48, shard 0, rewards train 0.9315159320831299, rewards val 0.9411590189873418
INFO: 01/16/2021 07:32:38 epoch 48, shard 1, rewards train 0.9384142160415649, rewards val 0.9522349683544303
INFO: 01/16/2021 07:36:20 epoch 49, shard 0, rewards train 0.9416278600692749, rewards val 0.9518393987341772
INFO: 01/16/2021 07:40:00 epoch 49, shard 1, rewards train 0.9410184025764465, rewards val 0.9604430379746836
INFO: 01/16/2021 07:43:37 epoch 50, shard 0, rewards train 0.9407690763473511, rewards val 0.9464992088607594
INFO: 01/16/2021 07:47:21 epoch 50, shard 1, rewards train 0.9395778179168701, rewards val 0.9444224683544303
INFO: 01/16/2021 07:50:55 epoch 51, shard 0, rewards train 0.9344525933265686, rewards val 0.9506526898734177
INFO: 01/16/2021 07:54:28 epoch 51, shard 1, rewards train 0.9402703642845154, rewards val 0.9410601265822784
INFO: 01/16/2021 07:58:01 epoch 52, shard 0, rewards train 0.9424867033958435, rewards val 0.959256329113924
INFO: 01/16/2021 08:01:35 epoch 52, shard 1, rewards train 0.9399656653404236, rewards val 0.9424446202531646
INFO: 01/16/2021 08:05:10 epoch 53, shard 0, rewards train 0.9370290040969849, rewards val 0.9475870253164557
INFO: 01/16/2021 08:08:53 epoch 53, shard 1, rewards train 0.9410184025764465, rewards val 0.9389833860759493
INFO: 01/16/2021 08:12:34 epoch 54, shard 0, rewards train 0.942375898361206, rewards val 0.9521360759493671
INFO: 01/16/2021 08:16:14 epoch 54, shard 1, rewards train 0.9395778179168701, rewards val 0.9479825949367089
INFO: 01/16/2021 08:19:53 epoch 55, shard 0, rewards train 0.9381094574928284, rewards val 0.9509493670886076
INFO: 01/16/2021 08:23:35 epoch 55, shard 1, rewards train 0.9401318430900574, rewards val 0.9447191455696202
INFO: 01/16/2021 08:27:14 epoch 56, shard 0, rewards train 0.940575122833252, rewards val 0.9529272151898734
INFO: 01/16/2021 08:30:49 epoch 56, shard 1, rewards train 0.9407690763473511, rewards val 0.951443829113924
INFO: 01/16/2021 08:34:23 epoch 57, shard 0, rewards train 0.9421819448471069, rewards val 0.9518393987341772
INFO: 01/16/2021 08:38:04 epoch 57, shard 1, rewards train 0.9401595592498779, rewards val 0.952432753164557
INFO: 01/16/2021 08:41:38 epoch 58, shard 0, rewards train 0.9433732032775879, rewards val 0.9518393987341772
INFO: 01/16/2021 08:45:14 epoch 58, shard 1, rewards train 0.9403257966041565, rewards val 0.9439280063291139
INFO: 01/16/2021 08:48:51 epoch 59, shard 0, rewards train 0.9400487542152405, rewards val 0.9464003164556962
INFO: 01/16/2021 08:52:27 epoch 59, shard 1, rewards train 0.936447262763977, rewards val 0.9560917721518988
INFO: 01/16/2021 08:56:01 epoch 60, shard 0, rewards train 0.9443982839584351, rewards val 0.9445213607594937
INFO: 01/16/2021 08:59:40 epoch 60, shard 1, rewards train 0.946503758430481, rewards val 0.9505537974683544
INFO: 01/16/2021 09:03:18 epoch 61, shard 0, rewards train 0.940575122833252, rewards val 0.9530261075949367
INFO: 01/16/2021 09:06:51 epoch 61, shard 1, rewards train 0.943013072013855, rewards val 0.9471914556962026
