INFO: 01/22/2021 08:17:45 epoch 0, shard 0, rewards train 0.4969802796840668, rewards val 0.6618868670886076
INFO: 01/22/2021 08:20:42 epoch 0, shard 1, rewards train 0.6820977330207825, rewards val 0.7641416139240507
INFO: 01/22/2021 08:23:24 epoch 1, shard 0, rewards train 0.7476728558540344, rewards val 0.8190268987341772
INFO: 01/22/2021 08:26:07 epoch 1, shard 1, rewards train 0.7983987331390381, rewards val 0.8480023734177216
INFO: 01/22/2021 08:28:49 epoch 2, shard 0, rewards train 0.829316258430481, rewards val 0.8828125
INFO: 01/22/2021 08:31:31 epoch 2, shard 1, rewards train 0.852532148361206, rewards val 0.8941851265822784
INFO: 01/22/2021 08:34:13 epoch 3, shard 0, rewards train 0.8656637668609619, rewards val 0.8990308544303798
INFO: 01/22/2021 08:36:55 epoch 3, shard 1, rewards train 0.869348406791687, rewards val 0.8862737341772152
INFO: 01/22/2021 08:39:38 epoch 4, shard 0, rewards train 0.8789339661598206, rewards val 0.9057555379746836
INFO: 01/22/2021 08:42:20 epoch 4, shard 1, rewards train 0.884003758430481, rewards val 0.9132713607594937
INFO: 01/22/2021 08:45:01 epoch 5, shard 0, rewards train 0.891179084777832, rewards val 0.9176226265822784
INFO: 01/22/2021 08:47:43 epoch 5, shard 1, rewards train 0.8944204449653625, rewards val 0.9199960443037974
INFO: 01/22/2021 08:50:25 epoch 6, shard 0, rewards train 0.8971354365348816, rewards val 0.9179193037974683
INFO: 01/22/2021 08:53:07 epoch 6, shard 1, rewards train 0.8953900933265686, rewards val 0.9114912974683544
INFO: 01/22/2021 08:55:49 epoch 7, shard 0, rewards train 0.8995179533958435, rewards val 0.913370253164557
INFO: 01/22/2021 08:58:32 epoch 7, shard 1, rewards train 0.8993794322013855, rewards val 0.9158425632911392
INFO: 01/22/2021 09:01:15 epoch 8, shard 0, rewards train 0.8976618051528931, rewards val 0.9078322784810127
INFO: 01/22/2021 09:03:57 epoch 8, shard 1, rewards train 0.9044215679168701, rewards val 0.9162381329113924
INFO: 01/22/2021 09:06:39 epoch 9, shard 0, rewards train 0.9027038812637329, rewards val 0.9202927215189873
INFO: 01/22/2021 09:09:21 epoch 9, shard 1, rewards train 0.9087710380554199, rewards val 0.9258306962025317
INFO: 01/22/2021 09:12:03 epoch 10, shard 0, rewards train 0.9099346399307251, rewards val 0.9239517405063291
INFO: 01/22/2021 09:14:45 epoch 10, shard 1, rewards train 0.9014018177986145, rewards val 0.9193037974683544
INFO: 01/22/2021 09:17:27 epoch 11, shard 0, rewards train 0.8965813517570496, rewards val 0.9208860759493671
INFO: 01/22/2021 09:20:08 epoch 11, shard 1, rewards train 0.901291012763977, rewards val 0.9115901898734177
INFO: 01/22/2021 09:22:51 epoch 12, shard 0, rewards train 0.9033687710762024, rewards val 0.9207871835443038
INFO: 01/22/2021 09:25:32 epoch 12, shard 1, rewards train 0.9122894406318665, rewards val 0.9241495253164557
INFO: 01/22/2021 09:28:14 epoch 13, shard 0, rewards train 0.9052526354789734, rewards val 0.9271162974683544
INFO: 01/22/2021 09:30:55 epoch 13, shard 1, rewards train 0.9110150933265686, rewards val 0.9288963607594937
INFO: 01/22/2021 09:33:38 epoch 14, shard 0, rewards train 0.9144503474235535, rewards val 0.9220727848101266
INFO: 01/22/2021 09:36:21 epoch 14, shard 1, rewards train 0.9151706695556641, rewards val 0.9334454113924051
INFO: 01/22/2021 09:39:02 epoch 15, shard 0, rewards train 0.9060560464859009, rewards val 0.9236550632911392
INFO: 01/22/2021 09:41:45 epoch 15, shard 1, rewards train 0.9179410338401794, rewards val 0.9228639240506329
INFO: 01/22/2021 09:44:26 epoch 16, shard 0, rewards train 0.9034242033958435, rewards val 0.9264240506329114
INFO: 01/22/2021 09:47:08 epoch 16, shard 1, rewards train 0.9180518388748169, rewards val 0.9312697784810127
INFO: 01/22/2021 09:49:51 epoch 17, shard 0, rewards train 0.9193262457847595, rewards val 0.9318631329113924
INFO: 01/22/2021 09:52:33 epoch 17, shard 1, rewards train 0.9207391142845154, rewards val 0.9300830696202531
INFO: 01/22/2021 09:55:15 epoch 18, shard 0, rewards train 0.9176362752914429, rewards val 0.9141613924050633
INFO: 01/22/2021 09:57:58 epoch 18, shard 1, rewards train 0.9077460169792175, rewards val 0.9295886075949367
INFO: 01/22/2021 10:00:40 epoch 19, shard 0, rewards train 0.9176639914512634, rewards val 0.9300830696202531
INFO: 01/22/2021 10:03:22 epoch 19, shard 1, rewards train 0.9162511229515076, rewards val 0.9390822784810127
INFO: 01/22/2021 10:06:04 epoch 20, shard 0, rewards train 0.92647385597229, rewards val 0.9114912974683544
INFO: 01/22/2021 10:08:48 epoch 20, shard 1, rewards train 0.92508864402771, rewards val 0.9288963607594937
