INFO: 01/16/2021 09:52:29 epoch 0, shard 0, rewards train 0.5400598645210266, rewards val 0.6193631329113924
INFO: 01/16/2021 09:57:37 epoch 0, shard 1, rewards train 0.6402925252914429, rewards val 0.6849287974683544
INFO: 01/16/2021 10:02:27 epoch 1, shard 0, rewards train 0.6976673603057861, rewards val 0.7464398734177216
INFO: 01/16/2021 10:07:10 epoch 1, shard 1, rewards train 0.7251219153404236, rewards val 0.767998417721519
INFO: 01/16/2021 10:12:00 epoch 2, shard 0, rewards train 0.7487533092498779, rewards val 0.7871835443037974
INFO: 01/16/2021 10:16:44 epoch 2, shard 1, rewards train 0.7729665040969849, rewards val 0.8066653481012658
INFO: 01/16/2021 10:21:35 epoch 3, shard 0, rewards train 0.7898381948471069, rewards val 0.8031052215189873
INFO: 01/16/2021 10:26:24 epoch 3, shard 1, rewards train 0.7914450168609619, rewards val 0.8099287974683544
INFO: 01/16/2021 10:31:07 epoch 4, shard 0, rewards train 0.801058292388916, rewards val 0.8214992088607594
INFO: 01/16/2021 10:35:54 epoch 4, shard 1, rewards train 0.8103945255279541, rewards val 0.8243670886075949
INFO: 01/16/2021 10:40:46 epoch 5, shard 0, rewards train 0.8188995718955994, rewards val 0.8300039556962026
INFO: 01/16/2021 10:45:30 epoch 5, shard 1, rewards train 0.817237377166748, rewards val 0.8423655063291139
INFO: 01/16/2021 10:50:14 epoch 6, shard 0, rewards train 0.8250775933265686, rewards val 0.8214003164556962
INFO: 01/16/2021 10:55:03 epoch 6, shard 1, rewards train 0.8268229365348816, rewards val 0.8517602848101266
INFO: 01/16/2021 10:59:46 epoch 7, shard 0, rewards train 0.8280419111251831, rewards val 0.843057753164557
INFO: 01/16/2021 11:04:37 epoch 7, shard 1, rewards train 0.8319204449653625, rewards val 0.8556170886075949
INFO: 01/16/2021 11:09:27 epoch 8, shard 0, rewards train 0.8364361524581909, rewards val 0.8381131329113924
INFO: 01/16/2021 11:14:15 epoch 8, shard 1, rewards train 0.8415060043334961, rewards val 0.8554193037974683
INFO: 01/16/2021 11:18:57 epoch 9, shard 0, rewards train 0.8432513475418091, rewards val 0.8614517405063291
INFO: 01/16/2021 11:23:39 epoch 9, shard 1, rewards train 0.847102165222168, rewards val 0.8775712025316456
