INFO: 01/16/2021 07:42:47 epoch 0, shard 0, rewards train 0.4965924322605133, rewards val 0.629746835443038
INFO: 01/16/2021 07:53:50 epoch 0, shard 1, rewards train 0.6794658899307251, rewards val 0.7505933544303798
INFO: 01/16/2021 08:04:34 epoch 1, shard 0, rewards train 0.7423814535140991, rewards val 0.7780854430379747
INFO: 01/16/2021 08:15:14 epoch 1, shard 1, rewards train 0.7813330888748169, rewards val 0.8284216772151899
INFO: 01/16/2021 08:19:10 epoch 2, shard 0, rewards train 0.8035516142845154, rewards val 0.8453322784810127
INFO: 01/16/2021 08:29:50 epoch 2, shard 1, rewards train 0.823027491569519, rewards val 0.857001582278481
INFO: 01/16/2021 08:33:48 epoch 3, shard 0, rewards train 0.8271276354789734, rewards val 0.8464200949367089
INFO: 01/16/2021 08:44:26 epoch 3, shard 1, rewards train 0.8371564745903015, rewards val 0.8659018987341772
INFO: 01/16/2021 08:48:23 epoch 4, shard 0, rewards train 0.8408411145210266, rewards val 0.8431566455696202
INFO: 01/16/2021 08:59:04 epoch 4, shard 1, rewards train 0.8364084959030151, rewards val 0.8584849683544303
INFO: 01/16/2021 09:03:00 epoch 5, shard 0, rewards train 0.8466312289237976, rewards val 0.8592761075949367
INFO: 01/16/2021 09:13:46 epoch 5, shard 1, rewards train 0.8487644195556641, rewards val 0.871934335443038
INFO: 01/16/2021 09:24:26 epoch 6, shard 0, rewards train 0.863696813583374, rewards val 0.8738132911392406
INFO: 01/16/2021 09:28:29 epoch 6, shard 1, rewards train 0.857214093208313, rewards val 0.8381131329113924
INFO: 01/16/2021 09:39:10 epoch 7, shard 0, rewards train 0.8607602119445801, rewards val 0.8898338607594937
INFO: 01/16/2021 09:43:09 epoch 7, shard 1, rewards train 0.8671320676803589, rewards val 0.8880537974683544
INFO: 01/16/2021 09:53:48 epoch 8, shard 0, rewards train 0.8717032074928284, rewards val 0.8565071202531646
INFO: 01/16/2021 09:57:45 epoch 8, shard 1, rewards train 0.8661624789237976, rewards val 0.880439082278481
INFO: 01/16/2021 10:08:25 epoch 9, shard 0, rewards train 0.872700572013855, rewards val 0.8862737341772152
INFO: 01/16/2021 10:12:21 epoch 9, shard 1, rewards train 0.8720356822013855, rewards val 0.896064082278481
INFO: 01/16/2021 10:23:01 epoch 10, shard 0, rewards train 0.8815658092498779, rewards val 0.9005142405063291
INFO: 01/16/2021 10:26:58 epoch 10, shard 1, rewards train 0.8827847838401794, rewards val 0.8886471518987342
INFO: 01/16/2021 10:37:38 epoch 11, shard 0, rewards train 0.884419322013855, rewards val 0.9013053797468354
INFO: 01/16/2021 10:41:36 epoch 11, shard 1, rewards train 0.892093300819397, rewards val 0.9119857594936709
INFO: 01/16/2021 10:52:23 epoch 12, shard 0, rewards train 0.8850011229515076, rewards val 0.897745253164557
INFO: 01/16/2021 10:56:20 epoch 12, shard 1, rewards train 0.8874667286872864, rewards val 0.9167325949367089
INFO: 01/16/2021 11:00:25 epoch 13, shard 0, rewards train 0.8918439745903015, rewards val 0.8984375
INFO: 01/16/2021 11:04:22 epoch 13, shard 1, rewards train 0.8877161145210266, rewards val 0.9098101265822784
INFO: 01/16/2021 11:08:23 epoch 14, shard 0, rewards train 0.893339991569519, rewards val 0.9072389240506329
INFO: 01/16/2021 11:12:27 epoch 14, shard 1, rewards train 0.899905800819397, rewards val 0.9194026898734177
INFO: 01/16/2021 11:23:06 epoch 15, shard 0, rewards train 0.8970522880554199, rewards val 0.9130735759493671
INFO: 01/16/2021 11:27:02 epoch 15, shard 1, rewards train 0.8959441781044006, rewards val 0.9146558544303798
INFO: 01/16/2021 11:31:23 epoch 16, shard 0, rewards train 0.8943650126457214, rewards val 0.9000197784810127
INFO: 01/16/2021 11:35:25 epoch 16, shard 1, rewards train 0.8947252035140991, rewards val 0.9006131329113924
INFO: 01/16/2021 11:46:04 epoch 17, shard 0, rewards train 0.8982712626457214, rewards val 0.9053599683544303
INFO: 01/16/2021 11:50:02 epoch 17, shard 1, rewards train 0.900182843208313, rewards val 0.9033821202531646
INFO: 01/17/2021 12:00:40 epoch 18, shard 0, rewards train 0.8996564745903015, rewards val 0.9159414556962026
INFO: 01/17/2021 12:04:39 epoch 18, shard 1, rewards train 0.9020944237709045, rewards val 0.9054588607594937
INFO: 01/17/2021 12:15:20 epoch 19, shard 0, rewards train 0.901013970375061, rewards val 0.9070411392405063
INFO: 01/17/2021 12:19:17 epoch 19, shard 1, rewards train 0.9041445255279541, rewards val 0.896064082278481
INFO: 01/17/2021 12:29:52 epoch 20, shard 0, rewards train 0.901291012763977, rewards val 0.9121835443037974
INFO: 01/17/2021 12:40:19 epoch 20, shard 1, rewards train 0.9024545550346375, rewards val 0.9239517405063291
INFO: 01/17/2021 12:44:16 epoch 21, shard 0, rewards train 0.9023991823196411, rewards val 0.917128164556962
INFO: 01/17/2021 12:48:19 epoch 21, shard 1, rewards train 0.9075244069099426, rewards val 0.9106012658227848
INFO: 01/17/2021 12:58:56 epoch 22, shard 0, rewards train 0.8992963433265686, rewards val 0.916435917721519
INFO: 01/17/2021 01:02:52 epoch 22, shard 1, rewards train 0.9028147459030151, rewards val 0.9028876582278481
INFO: 01/17/2021 01:06:49 epoch 23, shard 0, rewards train 0.90234375, rewards val 0.9158425632911392
INFO: 01/17/2021 01:10:46 epoch 23, shard 1, rewards train 0.9045877456665039, rewards val 0.9057555379746836
INFO: 01/17/2021 01:14:48 epoch 24, shard 0, rewards train 0.9036181569099426, rewards val 0.911689082278481
INFO: 01/17/2021 01:18:52 epoch 24, shard 1, rewards train 0.902897834777832, rewards val 0.9208860759493671
INFO: 01/17/2021 01:22:49 epoch 25, shard 0, rewards train 0.9110704660415649, rewards val 0.9255340189873418
INFO: 01/17/2021 01:26:54 epoch 25, shard 1, rewards train 0.9119846820831299, rewards val 0.9066455696202531
INFO: 01/17/2021 01:31:19 epoch 26, shard 0, rewards train 0.9127604365348816, rewards val 0.9159414556962026
INFO: 01/17/2021 01:35:16 epoch 26, shard 1, rewards train 0.910433292388916, rewards val 0.919501582278481
INFO: 01/17/2021 01:45:45 epoch 27, shard 0, rewards train 0.905972957611084, rewards val 0.9105023734177216
INFO: 01/17/2021 01:49:43 epoch 27, shard 1, rewards train 0.9045600891113281, rewards val 0.9105023734177216
INFO: 01/17/2021 02:00:11 epoch 28, shard 0, rewards train 0.9124279618263245, rewards val 0.9213805379746836
INFO: 01/17/2021 02:04:06 epoch 28, shard 1, rewards train 0.9093528389930725, rewards val 0.9209849683544303
INFO: 01/17/2021 02:08:10 epoch 29, shard 0, rewards train 0.9079122543334961, rewards val 0.9151503164556962
INFO: 01/17/2021 02:18:38 epoch 29, shard 1, rewards train 0.9149489998817444, rewards val 0.9202927215189873
INFO: 01/17/2021 02:22:36 epoch 30, shard 0, rewards train 0.9093528389930725, rewards val 0.9168314873417721
INFO: 01/17/2021 02:33:06 epoch 30, shard 1, rewards train 0.9097129702568054, rewards val 0.9122824367088608
INFO: 01/17/2021 02:37:04 epoch 31, shard 0, rewards train 0.9083831906318665, rewards val 0.9257318037974683
INFO: 01/17/2021 02:41:02 epoch 31, shard 1, rewards train 0.9168328642845154, rewards val 0.9124802215189873
INFO: 01/17/2021 02:45:06 epoch 32, shard 0, rewards train 0.9161403179168701, rewards val 0.9226661392405063
INFO: 01/17/2021 02:49:03 epoch 32, shard 1, rewards train 0.9114306569099426, rewards val 0.9111946202531646
INFO: 01/17/2021 02:53:08 epoch 33, shard 0, rewards train 0.9096298813819885, rewards val 0.9145569620253164
INFO: 01/17/2021 03:03:35 epoch 33, shard 1, rewards train 0.909186601638794, rewards val 0.9152492088607594
INFO: 01/17/2021 03:07:33 epoch 34, shard 0, rewards train 0.9188829660415649, rewards val 0.9244462025316456
INFO: 01/17/2021 03:17:59 epoch 34, shard 1, rewards train 0.9131205677986145, rewards val 0.9204905063291139
INFO: 01/17/2021 03:27:52 epoch 35, shard 0, rewards train 0.9084386229515076, rewards val 0.9285007911392406
INFO: 01/17/2021 03:31:58 epoch 35, shard 1, rewards train 0.9173592925071716, rewards val 0.9227650316455697
INFO: 01/17/2021 03:35:56 epoch 36, shard 0, rewards train 0.913785457611084, rewards val 0.924940664556962
INFO: 01/17/2021 03:46:24 epoch 36, shard 1, rewards train 0.9155030846595764, rewards val 0.923556170886076
INFO: 01/17/2021 03:50:22 epoch 37, shard 0, rewards train 0.918384313583374, rewards val 0.9148536392405063
INFO: 01/17/2021 04:00:51 epoch 37, shard 1, rewards train 0.9128158092498779, rewards val 0.9181170886075949
INFO: 01/17/2021 04:04:50 epoch 38, shard 0, rewards train 0.9161956906318665, rewards val 0.9212816455696202
INFO: 01/17/2021 04:08:48 epoch 38, shard 1, rewards train 0.9160017967224121, rewards val 0.9217761075949367
INFO: 01/17/2021 04:12:53 epoch 39, shard 0, rewards train 0.9178856611251831, rewards val 0.9094145569620253
INFO: 01/17/2021 04:16:52 epoch 39, shard 1, rewards train 0.920683741569519, rewards val 0.9271162974683544
INFO: 01/17/2021 04:27:21 epoch 40, shard 0, rewards train 0.9177471399307251, rewards val 0.930379746835443
INFO: 01/17/2021 04:31:20 epoch 40, shard 1, rewards train 0.9153369069099426, rewards val 0.9132713607594937
INFO: 01/17/2021 04:41:55 epoch 41, shard 0, rewards train 0.9130651354789734, rewards val 0.9213805379746836
INFO: 01/17/2021 04:52:30 epoch 41, shard 1, rewards train 0.9169713854789734, rewards val 0.9241495253164557
INFO: 01/17/2021 05:03:07 epoch 42, shard 0, rewards train 0.9146719574928284, rewards val 0.9134691455696202
